## 2016 Plant Transmission Exp. Videos,,,,,,,,
### Data Entry by: Elizabeth,,,,,,,,
### Samantha Alger & Alex Burnham,,,,,,,,
"### VideoFileName is the file name of the video; PlantSpp is the plant species in the video. Possible values are: BFT, WC, RC, or diversity;",,,,,,,,
"### Experiment possible values are: acute, comingle, diversity, chronic, BeeSpp possible values are BB, HB, or comingle;",,,,,,,,
"### TimeStart is the time stamp for when a bee lands on a flower; TimeEnd is when that bee leaves a flower, TimeForage calculates the total amount of time the bees spent on a flower; Forage is the number of seconds the forager spent on a flower in seconds",,,,,,,,
"### expID is the combined ID of the plant spp. and the experiment and is used to merge data with virus dataframe, chronic 1,2,3 represent for the first, second, and third days of the chronic experiment",,,,,,,,
"### that took place on 8/27, 8/28, and 8/29, NOTE that plants were collected the day after the video was filmed",,,,,,,,
,,,,,,,,
VideoFileName,PlantSpp,Experiment,BeeSpp,TimeStart,TimeEnd,TimeForage,Forage,expID
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:19,0:10:26,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:20,0:10:47,0:00:27,27,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:28,0:10:35,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:36,0:10:45,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:45,0:10:55,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:49,0:11:03,0:00:14,14,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:53,0:11:03,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:10:56,0:11:08,0:00:12,12,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:11:04,0:12:17,0:01:13,73,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:11:26,0:11:27,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:11:28,0:11:55,0:00:27,27,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:11:58,0:12:00,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:01,0:12:02,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:11,0:12:26,0:00:15,15,WC_chronic-2
