Date_collected,ID,site,species,host_plant,date_processed,sample_name,pollen,dil.factor,apiary_near_far
7/15/15,COL5,COL,Vagans,Trifolium pratense,12/8/15,154,1,7.8885,0
7/16/15,COL53,COL,Bimaculatus,Trifolium repens,3/28/16,241,1,7.8495,0
7/16/15,COL51,COL,Bimaculatus,Trifolium repens,3/28/16,243,0,6.9615,0
7/16/15,COL29,COL,Bimaculatus,Trifolium pratense,3/28/16,244,0,8.3155,0
7/16/15,COL45,COL,Bimaculatus,Trifolium repens,3/28/16,248,1,9.554,0
7/16/15,COL43,COL,Bimaculatus,Trifolium repens,3/30/16,256,1,9.1365,0
7/16/15,COL36,COL,Bimaculatus,Trifolium pratense,4/4/16,264,0,12.2175,0
7/16/15,COL52,COL,Bimaculatus,Trifolium repens,4/4/16,266,1,10.4755,0
7/16/15,COL50,COL,Bimaculatus,Trifolium repens,4/6/16,275,1,7.1145,0
7/16/15,COL44,COL,Bimaculatus,Trifolium repens,4/6/16,278,1,8.74,0
7/16/15,COL20,COL,Bimaculatus,Trifolium pratense,4/20/16,309,1,11.858,0
7/19/15,EFAIR2,EFAIR,Vagans,NA,9/29/15,32,NA,13.5025,NA
7/23/15,FERL4,FERL,Vagans,Hypericum perforatum,11/19/15,117,1,5.577,1
7/23/15,FERL15,FERL,Vagans,Vicia cracca,11/19/15,118,1,6.37,1
7/23/15,FERLX,FERL,Vagans,Hypericum perforatum,11/19/15,120,1,4.0405,1
7/23/15,FERL27,FERL,Vagans,Hypericum perforatum,11/19/15,123,1,2.143,1
7/23/15,FERL19,FERL,Vagans,Vicia cracca,11/19/15,124,1,3.902,1
7/23/15,FERL10,FERL,Vagans,Hypericum perforatum,11/19/15,125,1,8.085,1
7/23/15,FERL13,FERL,Vagans,Vicia cracca,11/19/15,126,0,2.41,1
7/23/15,FERL14,FERL,Vagans,Vicia cracca,11/19/15,130,1,2.0685,1
7/23/15,FERL23,FERL,Vagans,Hypericum perforatum,11/19/15,131,1,NA,1
7/23/15,FERL17,FERL,Vagans,Hypericum perforatum,11/19/15,135,1,5.589,1
7/23/15,FERL8,FERL,Vagans,Hypericum perforatum,12/8/15,149,1,5.98,1
7/23/15,FERL24,FERL,Bimaculatus,Hypericum perforatum,4/18/16,280,1,4.8645,1
7/23/15,FERL6,FERL,Bimaculatus,Hypericum perforatum,4/18/16,284,1,7.0195,1
7/23/15,FERL28,FERL,Bimaculatus,Hypericum perforatum,4/18/16,289,1,10.5215,1
7/23/15,FERL11,FERL,Bimaculatus,Hypericum perforatum,4/18/16,290,1,9.3055,1
7/23/15,FERL9,FERL,Bimaculatus,Hypericum perforatum,4/18/16,295,1,13.6205,1
7/23/15,FERL1,FERL,Bimaculatus,Hypericum perforatum,4/20/16,300,1,6.7775,1
7/23/15,FERL20,FERL,Bimaculatus,Vicia cracca,4/20/16,301,0,1.5525,1
7/23/15,FERL2,FERL,Bimaculatus,Hypericum perforatum,4/20/16,303,1,5.516,1
7/23/15,FERL31,FERL,Bimaculatus,Hypericum perforatum,4/20/16,310,1,8.896,1
7/23/15,FERL26,FERL,Bimaculatus,Hypericum perforatum,4/20/16,311,1,8.0795,1
7/10/15,FLAN18,FLAN,Bimaculatus,Cornelia varia,5/2/16,345,1,13.2945,0
7/10/15,FLAN3,FLAN,Bimaculatus,Cornelia varia,5/2/16,347,1,9.6685,0
7/10/15,FLAN7,FLAN,Bimaculatus,Cornelia varia,5/2/16,352,1,8.2455,0
7/10/15,FLAN10,FLAN,Bimaculatus,Cornelia varia,5/2/16,356,1,5.6405,0
7/10/15,FLAN8,FLAN,Bimaculatus,Cornelia varia,5/2/16,357,1,5.8475,0
7/10/15,FLAN6,FLAN,Bimaculatus,Cornelia varia,5/4/16,359,1,5.8505,0
7/10/15,FLAN2,FLAN,Bimaculatus,Cornelia varia,5/4/16,361,1,8.115,0
7/10/15,FLAN19,FLAN,Bimaculatus,Cornelia varia,5/4/16,364,0,1.417,0
7/10/15,FLAN11,FLAN,Bimaculatus,Cornelia varia,5/4/16,370,1,6.7015,0
7/10/15,FLAN5,FLAN,Bimaculatus,Cornelia varia,5/4/16,372,1,6.965,0
