"","ID","target_name","Ct_mean","norm_genome_copbee","site","apiary_near_far","sumColonies","species"
"325",145,"BQCV",24.75,4472261.281,"ONE",1,52,"Vagans"
"328",146,"BQCV",29.506,239961.0631,"SWAN",0,30,"Vagans"
"331",147,"BQCV",28.126,709944.7806,"ONE",1,52,"Vagans"
"334",148,"BQCV",29.304,541393.2016,"SWAN",0,30,"Vagans"
"337",149,"BQCV",28.836,315696.4905,"FERL",1,27,"Vagans"
"340",150,"BQCV",24.373,4880114.068,"ONE",1,52,"Vagans"
"343",151,"BQCV",27.086,1339892.925,"ONE",1,52,"Griseocollis"
"346",152,"BQCV",28.144,1335444.499,"ONE",1,52,"Vagans"
"349",153,"BQCV",24.039,10120163.03,"ONE",1,52,"Vagans"
"355",155,"BQCV",25.991,2582536.392,"SWAN",0,30,"Vagans"
"358",156,"BQCV",28.783,515008.9071,"SWAN",0,30,"Vagans"
"364",158,"BQCV",30.06,198660.2574,"MUDGE",0,0,"Vagans"
"376",162,"BQCV",29.904,237320.7623,"MUDGE",0,0,"Vagans"
"382",164,"BQCV",30.646,262775.3009,"MUDGE",0,0,"Vagans"
"385",165,"BQCV",29.868,400459.1486,"TIRE",0,0,"Vagans"
"391",167,"BQCV",32.312,98304.78087,"TIRE",0,0,"Vagans"
"397",170,"BQCV",31.845,72066.599,"TIRE",0,0,"Vagans"
"406",173,"BQCV",24.9,7546955.183,"TIRE",0,0,"Vagans"
"421",178,"BQCV",25.444,6864845.342,"SAND",0,4,"Vagans"
"427",180,"BQCV",29.246,593642.7108,"CLERK",0,0,"Vagans"
"433",182,"BQCV",28.329,431138.8762,"ROCK",0,7,"Vagans"
"434",182,"DWV",32.804,28641.55933,"ROCK",0,7,"Vagans"
"436",183,"BQCV",25.019,6770006.985,"SAND",0,4,"Vagans"
"439",184,"BQCV",21.473,42248787.04,"SAND",0,4,"Vagans"
"442",185,"BQCV",22.903,14514487.83,"ROCK",0,7,"Vagans"
"443",185,"DWV",32.571,0,"ROCK",0,7,"Vagans"
"445",186,"BQCV",25.291,8666498.703,"SAND",0,4,"Vagans"
"448",187,"BQCV",23.696,27246823.31,"SAND",0,4,"Vagans"
"470",194,"DWV",30.562,149461.4821,"MUDGE",0,0,"Vagans"
"472",195,"BQCV",29.534,171055.6574,"SAND",0,4,"Vagans"
"475",196,"BQCV",29.005,587674.6661,"ROCK",0,7,"Vagans"
"484",199,"BQCV",27.824,453455.0964,"ROCK",0,7,"Vagans"
"487",200,"BQCV",29.671,285227.1888,"SAND",0,4,"Vagans"
"490",201,"BQCV",26.004,1405556.127,"BOST-NEAR",1,45,"Vagans"
"493",202,"BQCV",27.35,580316.9569,"BOST-NEAR",1,45,"Vagans"
"499",204,"BQCV",28.339,797316.8769,"BOST-NEAR",1,45,"Vagans"
"502",205,"BQCV",23.287,11263742.15,"BOST-NEAR",1,45,"Vagans"
"505",206,"BQCV",28.661,3933676.005,"BOST-NEAR",1,45,"Vagans"
"508",207,"BQCV",26.627,1910319.778,"SAND",0,4,"Vagans"
"511",208,"BQCV",30.759,64231.89348,"BOST-NEAR",1,45,"Vagans"
"514",209,"BQCV",27.684,492317.8112,"BOST-NEAR",1,45,"Vagans"
