ID,Date,Site,Morpho species,plant,Time,Bee,
96,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
97,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
98,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
99,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
100,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
101,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
102,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
103,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
104,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
105,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
106,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
107,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,bombus,
108,8/3/15,NEK,big bombus ,in flight,3:00 PM,bombus,
109,8/3/15,NEK,small bombus,Asclepias syriaca,3:00 PM,bombus,
110,8/3/15,NEK,small bombus,Asclepias syriaca,3:00 PM,bombus,
111,8/3/15,NEK,big orange bombus,"""tall pink""",3:00 PM,bombus,
112,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,bombus,
113,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,bombus,
114,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,bombus,
115,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,bombus,
116,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
117,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
118,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
119,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
120,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
121,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
122,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
123,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
124,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,bombus,
125,7/29/15,SWAN,apis,Trifolium pratense,11:50 AM,apis,
126,7/27/15,DODD,small bombus,Vicia cracca,1:40 PM,bombus,
127,7/27/15,DODD,small bombus,Vicia cracca,1:40 PM,bombus,
128,7/27/15,DODD,small bombus,in flight,1:40 PM,bombus,
129,7/27/15,DODD,apis,in flight,1:40 PM,apis,
130,7/27/15,DODD,apis,in flight,1:40 PM,apis,
131,7/27/15,DODD,apis,in flight,1:40 PM,apis,
132,7/27/15,DODD,small bombus,Solidago ,1:40 PM,bombus,
133,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
134,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
135,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
136,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
137,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
138,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
139,7/27/15,DODD,apis,Solidago ,1:40 PM,apis,
140,7/27/15,DODD,apis,Trifolium repens,1:40 PM,apis,
141,7/27/15,DODD,apis,Trifolium repens,1:40 PM,apis,
142,7/27/15,DODD,apis,Trifolium repens,1:40 PM,apis,
143,7/27/15,DODD,small bombus,Trifolium pratense,1:40 PM,bombus,
144,7/27/15,DODD,small bombus,Trifolium pratense,1:40 PM,bombus,
145,7/27/15,DODD,small orange bombus,Trifolium pratense,1:40 PM,bombus,
146,7/27/15,DODD,apis,"""purple flower""",1:40 PM,apis,
147,7/27/15,DODD,apis,"""purple flower""",1:40 PM,apis,
148,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,bombus,
149,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,bombus,
150,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,bombus,
151,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,bombus,
152,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
153,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
154,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
155,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
156,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
157,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
158,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
159,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
160,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
161,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
