,site,target_name,sample_name,Ct_mean,Ct_sd,quantity_mean,quantity_sd,run,Date_collected,ID,species,host_plant,date_processed,pollen,dil.factor,apiary_near_far,genome_copbee,ACT_genome_copbee,norm_genome_copbee,norm_genome_copbeeHB,Ct_mean_hb,HBCollected,virusBINY_PreFilter,virusBINY,HB_Abun,HBSiteBin,ShannonDIV,SimpsonDIV,FisherDIV,Density,Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV.2_PA,LSV.2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries,sumColonies
232,COL,IAPV,256,36.594,NA,1.111,NA,55,7/16/15,COL43,Bimaculatus,Trifolium repens,3/30/16,1,9.1365,0,10150.6515,1007853711,0,0,NA,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
195,COL,BQCV,264,28.186,0.338,84.927,19.051,55,7/16/15,COL36,Bimaculatus,Trifolium pratense,4/4/16,0,12.2175,0,1037595.623,822417286.2,1772904.49,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
175,COL,DWV,264,NA,NA,NA,NA,55,7/16/15,COL36,Bimaculatus,Trifolium pratense,4/4/16,0,12.2175,0,0,822417286.2,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
224,COL,IAPV,264,37.666,NA,0.557,NA,55,7/16/15,COL36,Bimaculatus,Trifolium pratense,4/4/16,0,12.2175,0,6805.1475,822417286.2,0,0,NA,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
230,COL,BQCV,266,25.641,0.131,461.218,40.479,55,7/16/15,COL52,Bimaculatus,Trifolium repens,4/4/16,1,10.4755,0,4831489.159,1595108994,4256376.969,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
198,COL,DWV,266,NA,NA,NA,NA,55,7/16/15,COL52,Bimaculatus,Trifolium repens,4/4/16,1,10.4755,0,0,1595108994,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
209,COL,IAPV,266,NA,NA,NA,NA,55,7/16/15,COL52,Bimaculatus,Trifolium repens,4/4/16,1,10.4755,0,0,1595108994,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
233,COL,BQCV,275,27.043,0.185,180.908,22.38,62,7/16/15,COL50,Bimaculatus,Trifolium repens,4/6/16,1,7.1145,0,1287069.966,3239115884,558373.8993,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
189,COL,DWV,275,NA,NA,NA,NA,56,7/16/15,COL50,Bimaculatus,Trifolium repens,4/6/16,1,7.1145,0,0,3239115884,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
208,COL,IAPV,275,NA,NA,NA,NA,56,7/16/15,COL50,Bimaculatus,Trifolium repens,4/6/16,1,7.1145,0,0,3239115884,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
194,COL,BQCV,278,28.552,0.198,65.933,8.725,57,7/16/15,COL44,Bimaculatus,Trifolium repens,4/6/16,1,8.74,0,576254.42,1328921632,609346.5234,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
187,COL,DWV,278,NA,NA,NA,NA,57,7/16/15,COL44,Bimaculatus,Trifolium repens,4/6/16,1,8.74,0,0,1328921632,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
218,COL,IAPV,278,NA,NA,NA,NA,57,7/16/15,COL44,Bimaculatus,Trifolium repens,4/6/16,1,8.74,0,0,1328921632,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
181,COL,BQCV,309,27.321,0.197,150.275,19.744,59,7/16/15,COL20,Bimaculatus,Trifolium pratense,4/20/16,1,11.858,0,1781960.95,4915547137,509419.7245,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
177,COL,DWV,309,NA,NA,NA,NA,59,7/16/15,COL20,Bimaculatus,Trifolium pratense,4/20/16,1,11.858,0,0,4915547137,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
200,COL,IAPV,309,NA,NA,NA,NA,59,7/16/15,COL20,Bimaculatus,Trifolium pratense,4/20/16,1,11.858,0,0,4915547137,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
236,COL,BQCV,119,30.697,0.765,16.672,8.179,37,7/16/15,COL27,Vagans,Trifolium pratense,11/19/15,0,7.208,0,120171.776,2476754864,68181.86778,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
180,COL,DWV,119,NA,NA,NA,NA,37,7/16/15,COL27,Vagans,Trifolium pratense,11/19/15,0,7.208,0,0,2476754864,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
220,COL,IAPV,119,NA,NA,NA,NA,37,7/16/15,COL27,Vagans,Trifolium pratense,11/19/15,0,7.208,0,0,2476754864,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
182,COL,BQCV,122,30.286,0.456,12.771,18.061,37,7/16/15,COL40,Vagans,Trifolium pratense,11/19/15,1,3.5095,0,44819.8245,1012916277,62179.33037,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
199,COL,DWV,122,36.8,NA,0.36,NA,37,7/16/15,COL40,Vagans,Trifolium pratense,11/19/15,1,3.5095,0,1263.42,1012916277,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
212,COL,IAPV,122,NA,NA,NA,NA,37,7/16/15,COL40,Vagans,Trifolium pratense,11/19/15,1,3.5095,0,0,1012916277,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
238,COL,BQCV,127,30.72,0.454,15.756,4.709,38,7/16/15,COL48,Vagans,Trifolium repens,11/19/15,1,4.287,0,67545.972,740851817.5,128120.1811,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
174,COL,DWV,127,NA,NA,NA,NA,38,7/16/15,COL48,Vagans,Trifolium repens,11/19/15,1,4.287,0,0,740851817.5,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
217,COL,IAPV,127,38.948,0.573,0.253,0.091,38,7/16/15,COL48,Vagans,Trifolium repens,11/19/15,1,4.287,0,1084.611,740851817.5,0,0,NA,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
179,COL,BQCV,128,28.224,0.072,81.793,3.921,38,7/16/15,COL34,Vagans,Trifolium pratense,11/19/15,0,2.724,0,222804.132,555283314,563842.8226,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
172,COL,DWV,128,39.49,NA,0.063,NA,38,7/16/15,COL34,Vagans,Trifolium pratense,11/19/15,0,2.724,0,171.612,555283314,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
206,COL,IAPV,128,NA,NA,NA,NA,38,7/16/15,COL34,Vagans,Trifolium pratense,11/19/15,0,2.724,0,0,555283314,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
227,COL,BQCV,129,30.955,0.265,5.803,8.207,38,7/16/15,COL41,Vagans,Trifolium pratense,11/19/15,1,4.9825,0,28913.4475,1018798631,39880.53395,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
197,COL,DWV,129,33.191,NA,3.727,NA,38,7/16/15,COL41,Vagans,Trifolium pratense,11/19/15,1,4.9825,0,18569.7775,1018798631,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
222,COL,IAPV,129,34.624,NA,3.945,NA,38,7/16/15,COL41,Vagans,Trifolium pratense,11/19/15,1,4.9825,0,19655.9625,1018798631,0,0,NA,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
214,COL,BQCV,132,30.06,0.034,23.947,0.537,38,7/15/15,COL7,Vagans,Trifolium pratense,11/19/15,1,4.5065,0,107917.1555,1235966345,122696.8134,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
184,COL,DWV,132,NA,NA,NA,NA,38,7/15/15,COL7,Vagans,Trifolium pratense,11/19/15,1,4.5065,0,0,1235966345,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
219,COL,IAPV,132,NA,NA,NA,NA,38,7/15/15,COL7,Vagans,Trifolium pratense,11/19/15,1,4.5065,0,0,1235966345,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
234,COL,BQCV,133,26.138,0.047,330.012,10.403,38,7/22/15,COL59,Vagans,flying,11/19/15,0,3.6855,0,1216259.226,1295913716,1318862.44,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
203,COL,DWV,133,NA,NA,NA,NA,38,7/22/15,COL59,Vagans,flying,11/19/15,0,3.6855,0,0,1295913716,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
211,COL,IAPV,133,NA,NA,NA,NA,38,7/22/15,COL59,Vagans,flying,11/19/15,0,3.6855,0,0,1295913716,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
193,COL,BQCV,134,25.025,0.044,695.059,20.267,38,7/15/15,COL11,Vagans,Trifolium pratense,11/19/15,1,3.192,0,2218628.328,900274967.8,3463050.448,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
216,COL,DWV,134,36.307,4.324,1.794,2.537,38,7/15/15,COL11,Vagans,Trifolium pratense,11/19/15,1,3.192,0,5726.448,900274967.8,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
205,COL,IAPV,134,39.15,NA,0.215,NA,38,7/15/15,COL11,Vagans,Trifolium pratense,11/19/15,1,3.192,0,686.28,900274967.8,0,0,NA,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
231,COL,BQCV,136,27.506,0.05,132.249,4.446,38,7/22/15,COL58,Vagans,coming out ofã?,11/19/15,0,2.951,0,390266.799,967328120.7,566940.1734,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
204,COL,DWV,136,35.48,NA,0.847,NA,38,7/22/15,COL58,Vagans,coming out ofã?,11/19/15,0,2.951,0,2499.497,967328120.7,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
201,COL,IAPV,136,NA,NA,NA,NA,38,7/22/15,COL58,Vagans,coming out ofã?,11/19/15,0,2.951,0,0,967328120.7,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
191,COL,BQCV,137,29.507,0.202,34.81,4.695,39,7/16/15,COL54,Vagans,Trifolium repens,11/19/15,1,4.34,0,151075.4,621828473,341407.1307,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
178,COL,DWV,137,33.275,NA,3.529,NA,39,7/16/15,COL54,Vagans,Trifolium repens,11/19/15,1,4.34,0,15315.86,621828473,0,14804.04918,31.157,1,1,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
207,COL,IAPV,137,NA,NA,NA,NA,39,7/16/15,COL54,Vagans,Trifolium repens,11/19/15,1,4.34,0,0,621828473,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
215,COL,BQCV,154,33.207,2.174,4.601,5.031,40,7/15/15,COL5,Vagans,Trifolium pratense,12/8/15,1,7.8885,0,36294.9885,1211479543,0,992531886.8,14.196,1,1,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
229,COL,DWV,154,NA,NA,NA,NA,40,7/15/15,COL5,Vagans,Trifolium pratense,12/8/15,1,7.8885,0,0,1211479543,0,14804.04918,31.157,1,0,0,0.166666667,Low,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
210,COL,IAPV,154,NA,NA,NA,NA,40,7/15/15,COL5,Vagans,Trifolium pratense,12/8/15,1,7.8885,0,0,1211479543,0,0,NA,1,0,0,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,Colchester,sans hb,N,"colchester pond, found vagans nest",3,3
262,FERL,BQCV,280,21.14,0.025,9346.058,154.515,57,7/23/15,FERL24,Bimaculatus,Hypericum perforatum,4/18/16,1,4.8645,1,45463899.14,806264655.3,79238910.72,419532554.7,14.164,1,1,1,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
249,FERL,DWV,280,29.895,0.309,31.787,6.318,57,7/23/15,FERL24,Bimaculatus,Hypericum perforatum,4/18/16,1,4.8645,1,154627.8615,806264655.3,269500.4948,5038.476126,31.397,1,1,1,0,Low,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
258,FERL,IAPV,280,NA,NA,NA,NA,57,7/23/15,FERL24,Bimaculatus,Hypericum perforatum,4/18/16,1,4.8645,1,0,806264655.3,0,0,NA,1,0,0,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
272,FERL,BQCV,284,25.292,0.202,583.826,78.537,57,7/23/15,FERL6,Bimaculatus,Hypericum perforatum,4/18/16,1,7.0195,1,4098166.607,1205930656,4775476.516,419532554.7,14.164,1,1,1,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
254,FERL,DWV,284,36.167,NA,0.543,NA,57,7/23/15,FERL6,Bimaculatus,Hypericum perforatum,4/18/16,1,7.0195,1,3811.5885,1205930656,0,5038.476126,31.397,1,1,0,0,Low,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
270,FERL,IAPV,284,35.493,NA,2.255,NA,57,7/23/15,FERL6,Bimaculatus,Hypericum perforatum,4/18/16,1,7.0195,1,15828.9725,1205930656,0,0,NA,1,1,0,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
283,FERL,BQCV,289,19.329,0.024,31392.871,496.551,58,7/23/15,FERL28,Bimaculatus,Hypericum perforatum,4/18/16,1,10.5215,1,330300092.2,4384446461,105862796.6,419532554.7,14.164,1,1,1,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
289,FERL,DWV,289,31.083,1.254,17.055,12.505,58,7/23/15,FERL28,Bimaculatus,Hypericum perforatum,4/18/16,1,10.5215,1,179444.1825,4384446461,57512.73901,5038.476126,31.397,1,1,1,0,Low,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
264,FERL,IAPV,289,38.599,0.175,0.307,0.034,58,7/23/15,FERL28,Bimaculatus,Hypericum perforatum,4/18/16,1,10.5215,1,3230.1005,4384446461,0,0,NA,1,1,0,0,NA,0.797788845,0.44511214,0.874579171,26.5,Palmer,0,St_Albans,0,0,0,0,0,0,1,7.69E+09,0,0,1,20400000,0,0,1,0.42,0,9,Ferland,44.948248,-73.082924,73,Highgate,~25,Y, ,2,27
