,site,target_name,sample_name,Ct_mean,Ct_sd,quantity_mean,quantity_sd,run,Date_collected,ID,species,host_plant,date_processed,pollen,dil.factor,apiary_near_far,genome_copbee,ACT_genome_copbee,norm_genome_copbee,norm_genome_copbeeHB,Ct_mean_hb,HBCollected,virusBINY_PreFilter,virusBINY,HB_Abun,HBSiteBin,ShannonDIV,SimpsonDIV,FisherDIV,Density,Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV.2_PA,LSV.2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries,sumColonies
63,BOST-NEAR,IAPV,225,NA,NA,NA,NA,52,6/25/15,BOSTN23,Bimaculatus,Trifolium pratense,3/21/16,0,9.8955,1,0,1852727241,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
52,BOST-NEAR,BQCV,227,25.445,0.067,524.923,23.555,52,6/25/15,BOSTN39,Bimaculatus,Trifolium pratense,3/21/16,0,10.2135,1,5361301.061,996048198.6,7563786.821,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
16,BOST-NEAR,DWV,227,32.96,0.064,4.33,0.18,52,6/25/15,BOSTN39,Bimaculatus,Trifolium pratense,3/21/16,0,10.2135,1,44224.455,996048198.6,0,1407310274,17.375,1,1,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
28,BOST-NEAR,IAPV,227,NA,NA,NA,NA,52,6/25/15,BOSTN39,Bimaculatus,Trifolium pratense,3/21/16,0,10.2135,1,0,996048198.6,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
47,BOST-NEAR,BQCV,281,25.389,0.025,544.899,9.017,57,6/18/15,BOSTN11,Bimaculatus,Vicia cracca,4/18/16,1,9.0385,1,4925069.612,1987705795,3481847.201,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
3,BOST-NEAR,DWV,281,32.523,NA,5.742,NA,57,6/18/15,BOSTN11,Bimaculatus,Vicia cracca,4/18/16,1,9.0385,1,51899.067,1987705795,36690.77504,1407310274,17.375,1,1,1,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
46,BOST-NEAR,IAPV,281,NA,NA,NA,NA,57,6/18/15,BOSTN11,Bimaculatus,Vicia cracca,4/18/16,1,9.0385,1,0,1987705795,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
36,BOST-NEAR,BQCV,283,23.662,0.047,1729.536,54.126,57,6/18/15,BOSTN1,Bimaculatus,Vicia cracca,4/18/16,1,10.0055,1,17304872.45,1936335499,12558484.5,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
61,BOST-NEAR,DWV,283,32.615,NA,5.41,NA,57,6/18/15,BOSTN1,Bimaculatus,Vicia cracca,4/18/16,1,10.0055,1,54129.755,1936335499,39283.02225,1407310274,17.375,1,1,1,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
48,BOST-NEAR,IAPV,283,NA,NA,NA,NA,57,6/18/15,BOSTN1,Bimaculatus,Vicia cracca,4/18/16,1,10.0055,1,0,1936335499,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
