site,apis,bombus,apis:bombus
BOST-NEAR,27,3,9.000
CIND,2,60,0.033
CLERK,4,30,0.133
COL,2,10,0.200
FERL,0,1,0.000
FLAN,2,25,0.080
HOGB,4,90,0.044
JOSH,53,21,2.524
MART,62,2,31.000
MUDGE,14,9,1.556
NEK,0,28,0.000
ONE,5,11,0.455
PAT,4,1,4.000
RICE,0,16,0.000
ROCK,5,23,0.217
SAND,1,8,0.125
SWAN,1,13,0.077
TIRE,1,8,0.125
WHAL,61,10,6.100
