LocationName,ColonyCount,Address1,city,lat,long
Woodcock Farm,15,Rt 100,Londonderry,43.203069,-72.821453
Home 1822 Harwood Hill,6,1822 Harwood Hill Road,Bennington,42.927092,-73.209962
Feltman Yard,11,Nortontown Road,Addison,44.051389,-73.36
Home,2,273 Back of The Moon Road,Kirby,44.544392,-71.923102
Home Yard,3,577 Wild Branch Road,Craftsbury,44.650471,-72.415535
Lewis Lalumiere land,0,Unknown,Ferrisburg,NA,NA
Home Yard,1,Unknown,Underhill,NA,NA
Home Yard,3,9 South Hill,Underhill,44.506149,-72.907677
Home Yard,1,458 Gould Hill Road,Montpelier,44.290175,-72.571392
Home Yard,3,5431 Weybridge Road,Weybridge,44.061247,-73.240442
Kayhart Yd,5,Country Club Road,Addison,44.05408,-73.38341
Home,0,30 Swamp Road,Corinth,44.099068,-72.218811
Johnson Nuc Yd.,52,Morgan Horse Farm Rd,Weybridge,44.059468,-73.193479
Home,2,16 Chruch Street,Springfield,43.330647,-72.525245
Mt. Independence Yard,26,Mt. Independence Road,Orwell,43.820233,-73.381079
Home Yard,2,211 Joe Lord Road,Corinth,44.041549,-72.306592
Slinky Gate Yd.,32,Unknown,Shoreham,NA,NA
Castleton Yd,10,RT 4A,Castleton,NA,NA
Home,1,1067 Cady Hill Road,Weathersfield,43.378098,-72.484167
Home Yard,1,52 Seems Road,Brownsville,43.466715,-72.473602
Dad'sPlace,0,Unknown,Swanton,NA,NA
Fox Chair Mountain Orchards,2,622 Whitney Road,Springfield,43.238751,-72.540386
BaldwinYd,24,Unknown,Hinesburg,NA,NA
Home,3,770 Vt Rte 244,Thetford,43.887753,-72.245823
Home,5,3038 County Road,Groton,44.280741,-72.199101
Alan Karnatz house,5,1207 Cobb Hill Road,New Haven,NA,NA
Home,3,Unknown,Ludlow,NA,NA
Home,20,371A West Shore Road,Alburg,44.91721,-73.311055
Home Yard,1,193 Old Concord Road,East St. Johnsbury,44.441025,-71.943313
Home,1,688 Coleman Hill Road,Rawsonville,43.152489,-72.853638
Cold Springs Road Yard,16,Cold Springs Road,West Haven,43.64533,-73.393264
Khan Yd,4,284 Turkey Hill Road,Randolph,NA,NA
Nichols Farm,20,Spear St,E Charlotte,44.31295,-73.195164
Bean Yd,20,Hinesburg - Charlotte Road,Charlotte,44.320916,-73.174224
Home Yard,2,Unknown,Elmore,NA,NA
Home Yard,1,96 Cutting Hill,Waterville,44.71546,-72.755834
Bees at sugarhouse,1,1765 Vermont 109,Belvidere,44.759625,-72.670477
Home Yard,7,328 RT 12,Northfield Falls,44.144037,-72.65586
Home,1,378 Farquharson Drive,South Ryegate,44.190671,-72.150897
Home Yard,2,20 Camp Road,Lake Elmore,44.538338,-72.521988
Wing Yard,26,Unknown,Benson,NA,NA
Stannard Farm,32,Unknown,Benson,NA,NA
Home,1,618 Houston Road,Hardwick,44.476597,-72.317841
Home,0,1959 Us Route 5,West Burke,44.641644,-71.983647
Home,0,3505 Goshen Road,Bradford,44.037833,-72.142288
Home,2,1558 Stone Road,Brookfield,44.064392,-72.603889
Holland Yard,1,Unknown,Moretown,NA,NA
Home Yard,2,103 Irish Settlement Road,Underhill Center,44.523334,-72.8947
Home Yard,2,169 Covey Road,Brattleboro,42.84775,-72.641648
Houle Farm,0,Unknown,Richmond,NA,NA
Home,0,955 Eagle Point Road,Newport,44.995533,-72.197731
Home,0,Ward Hollow Road,Fayston,44.174463,-72.890158
Home,5,530 Millbrook Road,Fayston,44.207437,-72.875664
Crane land,0,48 Nelson Street,St. Johnsbury,44.431665,-72.009725
Farm,0,6059 Rte % South,Newbury,44.068177,-72.053607
Home Yard,1,223 Pine Hill Lane,Waitsfield,44.183255,-72.82208
Home Yard Stockpile Yard,186,1242 Meyers Road,Shaftsbury,42.96467,-73.228056
Young Home Yard,1,270 Village Road,Corinth,44.058002,-72.222855
Home,1,Barrows Road,Northfield,NA,NA
Lunna Yard,5,1946 Lower Notch Road,Bristol,NA,NA
T. Collins Yard,32,Collins Mill Road,Newport Town,44.890478,-72.336508
Mallary Farm,0,Unknown,Fairlee,NA,NA
Mayoun Yd.,8,3678 Mud City Loop,Morristown,NA,NA
Home,1,2584 Northfield Road,Brookfield,44.074072,-72.632047
Home,0,242 Duclos Road,Braintree,43.950221,-72.707885
Home,3,1070 Route 2,Richmond,44.422564,-73.007266
Home,15,947 New Boston Road,St. Johnsbury,44.478798,-72.005348
Out Yard,2,53 Harrison Ave.,Burlington,NA,NA
Home,1,1747 Cormier Road,Danville,44.449329,-72.119319
Home,1,Private Drive #3,Middlesex,44.3394,-72.63329
Allard Yd.Lapan Bay,25,Lapin Road,St. Albans Twn,44.80974,-73.16261
Lussier Farm Yard,12,Lanier Road,Swanton,44.945556,-73.218333
Morses Line,31,Unknown,Swanton,NA,NA
Squires Yd.,4,35 Cilley Hill Road,Jericho,44.513757,-72.987713
Sheldon Yd,32,Bushey Road,Sheldon,44.902422,-73.043772
Home,3,642 Tucker Hill Road,Thetford,43.830599,-72.259344
Home,6,1399 Chester Arthur Road,Fairfield,44.820831,-72.916077
YandowYd,25,Dunsmore Road,St. Albans Twn,44.84974,-73.145
Camisa Yard,25,Unknown,St. Albans Twn,NA,NA
Torrey Yard,23,Lapham Bay Rd,Shoreham,43.933172,-73.373285
Home Yard,8,1202 West Tinmouth Road,Tinmouth,43.510303,-73.025192
Home,2,39 Kelley Road,Underhill,44.556776,-72.948669
FerlandYd,25,Carter Hill Road,Swanton,44.9482,-73.0829
Home Yard,2,3436 Route 100,Newport Center,44.91587,-72.341408
