LocationName,ColonyCount,Address1,city,lat,long
E.Hutchinson Road Yd.,6,East Hutchinson Road,Bridport,43.99797,-73.31786
Home Yard,2,2012 VT RT 128,Westford,44.629992,-73.021505
By Montessori off Hopson Rd.,4,Unknown,Norwich,NA,NA
Home,0,938 Beaver Meadow Road,Marshfield,44.335766,-72.389244
Home,4,Unknown,Hartford,NA,NA
Walter's Field,3,89 Dover Road,Williamsville,42.944439,-72.682471
Museum ground,0,Unknown,Norwich,NA,NA
Home Yard,2,5372 US RT 7 South,Wallingford,43.398626,-72.998901
Home,17,87 Coyote Ridge,Hinesburg,44.315838,-73.112297
Home Yard,6,129 Beech Hill Road,Putney,43.054543,-72.545334
Home,1,9 Abare Avenue,Essex Junction,44.510426,-73.127111
Fisher Road Yard,18,Fisher Road,Cornwall,43.96105,-73.21663
Home Yard,1,1150 Middletown Road,Andover,43.268429,-72.731125
Home,2,115 Wheeler Road,Braintree,43.925762,-72.722099
Father's Yard,1,Unknown,Pittsfield,NA,NA
NA,9,1036 Murphy Hill Road,Shaftsbury,42.982988,-73.265697
Home Yard,10,61 Henry Hill Road,Stamford,42.756989,-73.076454
Sanderson Hill Farm Yard,12,230 Sanderson Hill Road,Charleston,44.84729,-72.06432
1,10,820 Maple Grove Road,Pownal,42.81854,-73.18024
Home,3,657 Maple St.,Waltham,44.151225,-73.245105
Pyne yard,23,West Street,Cornwall,43.982061,-73.252888
Home,1,48 Wilmuth Drive,Springfield,43.29137,-72.467758
Home Yard,4,581 Fontaine Drive,Milton,44.69692,-73.12245
Home,3,168 Summit Street,Burlington,44.471541,-73.201691
Home,1,780 Button Hill Road,Shrewsbury,43.482387,-72.903189
Home Yard,4,514 W River Road,Lincoln,44.110764,-73.003815
Home Yard,6,6662 Georgia Shore Road,St. Albans,44.788593,-73.135552
N. Rd. Forest Fm. upper field N. side,0,Unknown,Manchester,NA,NA
home yard,2,312 Luge Run,Dorset,43.245277,-72.992928
Home,6,777 Grandview Road,Williamstown,44.094105,-72.486023
Home Yard,1,3584 Morse Hill Road,Dorset,43.222965,-73.072227
Ross Fm on Herrick Brook Rd,0,Unknown,Pawlet,NA,NA
Home,2,11 Hunt Street,Fairfax,44.666414,-73.011818
Home,13,Unknown,Bennington,NA,NA
Home Yard,1,1408 Murphy Hill Road,Shaftsbury,42.985936,-73.268178
Home,3,601 Marshall Road,Duxbury,44.340809,-72.83593
Home,4,26 Patch Farm Road,Putney,43.052677,-72.526054
Home Yard,1,33 Boothwood,Vergennes,44.156559,-73.24411
Home,0,581 Sugar Maple Road,Lyndon,44.528759,-71.954338
Home,2,430 S Wardsboro Road,Newfane,43.000263,-72.686119
Home,4,1307 Stellar Road,Williamstown,44.058451,-72.50347
Intervale,13,Intervale Road,Burlington,44.500723,-73.210123
Home Yard,4,1611 Harbor Road,Shelburne,44.388049,-73.257512
Off Rt 100,0,Unknown,Ludlow,NA,NA
Home,1,107 Norton Road,Worcester,44.349476,-72.557487
Stanionis Yd./Ghost Hollow Road,0,Unknown,West Haven,NA,NA
HarperYd,31,Unknown,Orwell,NA,NA
Babcock Yard,10,Lake Brook Drive,Georgia,44.765993,-73.156028
Walker II,0,RT 144,Benson,43.72267,-73.2931
VanHelsenga Yd,27,Unknown,Shoreham,NA,NA
Home Yard,4,47 Prospect Street,Essex Junction,44.496091,-73.117508
Winery,22,3968 Greenbush Road,Charlotte,44.29491,-73.26
Home,3,776 West Street,Cornwall,43.953735,-73.250526
Rocky Knoll Yard,46,Vail Road,Sudbury,43.833611,-73.199722
Home,0,1868 Trestle Toad,Danville,44.408286,-72.085204
Home,1,390 Clay Hill Road,Hartland,43.620397,-72.40814
Williams Farm Stand,4,Unknown,Rutland Town,NA,NA
Slate Yard,23,Cream Hill Road,Shoreham,43.9145,-73.33632
Home,0,681 Osgood Hill Road,Westford,44.564779,-72.999734
Home,4,"1747 W, Hill Road",Northfield,44.193283,-72.646802
Stevens Yard,14,Basin Harbor Road,Shoreham,43.92576,-73.33661
Torrey W.NucYd.,0,Unknown,Shoreham,NA,NA
Home,0,1959 Route 5,West Burke,44.641644,-71.983647
Home,0,965 Hathaway Road,Hartford,43.628331,-72.386011
Winslow Farm Yard,3,RT 7,Pittsford,43.670386,-72.989119
Pettis Yard,22,Pettis Road,West Haven,43.66241,-73.37472
Home,1,989 Maple Hill Road,Marshfield,NA,NA
Congdon Yard,40,W Creek Road,Clarendon,43.520665,-72.98492
Phantom School,3,Unknown,Dorset,43.254807,-73.09878
Home,0,77 Richards Road,Fairfax,44.65394,-73.035382
Milton Yard,5,356 Hardscrabble Road,Milton,44.61818,-73.07193
Appleton Yard Butch,0,Rock Quarry Lane,Bradford,43.982428,-72.136729
Manice Yard,5,1249 Goldcoast Road,Bridgewater,43.606375,-72.634778
Home Yard,1,838 Bartlett Brook Road,Pomfret,43.689507,-72.535558
Mill Pond Road,0,Unknown,Benson,NA,NA
Norris Yard,20,Quiet Valley Rd,Shoreham,43.919126,-73.274246
Mitchell Yd,21,Hallock Rd,New Haven,44.096466,-73.246813
Miller Nuc Yard,75,Drake Road,Weybridge,44.053741,-73.222459
Arrowsmith Mating Yd,100,Forge Hill Rd,Lincoln,44.115064,-73.002006
T. Anderson Yd,2,Unknown,Windsor,NA,NA
Home,3,1854 Sawnee Bean Road,Thetford,43.869541,-72.275986
Home Yard,15,277 Robistow Drive,Fletcher,44.747578,-72.97699
Home,2,106 South Mainstreet,Northfield,44.147328,-72.656456
Gibbons Yd,8,1321 Smith St.,Shoreham,43.876734,-73.366963
Home,1,2977 Mad Tom Road,East Dorset,43.270996,-72.994202
Home,1,895 Upper Quarry Road,Newport,44.970966,-72.146492
Home,1,Town Farm Hill Road,Hartland Four Corners,43.560833,-72.452238
Home,1,Unknown,Peru,NA,NA
Terry's Orchard,48,Unknown,Bennington,42.91229,-73.20936
Home,1,424 Vt Route 25,Topsham,44.110054,-72.316452
Wellwood Orchards Yard,6,Wellwood Orchards Road,Weathersfield,43.353333,-72.476111
Home,1,292 Orchard Lane,Windsor,43.461235,-72.395714
Home,6,717 Texas Hill Road,Hinesburg,44.346634,-73.064857
Home,2,306 Woodchuck Hollow Road,Washington,44.106411,-72.424809
Home,3,467 Butler Brook Road,Jacksonville,42.804571,-72.809607
Home Yard,1,1542 Old Stage Road,Westford,44.618422,-73.044607
Home Yard,5,164 Church Street,Rutland,43.620136,-72.979103
Home Yard,5,2700 Fuller Mountain Road,N. Ferrisburg,44.248459,-73.203136
1.5M S.of town,1,Unknown,Poultney,NA,NA
Home,2,128 Preedon Hill Road,Ludlow,43.397367,-72.679363
Chelsea Yard,14,Unknown,Chelsea,NA,NA
Home Yard,1,154 Sugar Ridge Road,Danville,44.417692,-72.139377
Home,3,238 Upper Bailey Road,Thetford,43.826141,-72.302986
Home Yard,2,295 Maplewood Common,Moretown,44.24224,-72.78774
PappalardoYd,0,494 Morse Road,Jay,44.965092,-72.456894
Home,1,69 Sarasota Ave,Burlington,44.50373,-73.236783
Cross Bees,3,727 Houghton Lane,Bennington,42.918285,-73.198883
Home,2,302 Highbridgehill Road,Waitsfield,44.17136,-72.80445
Barrows Yd.,24,Unknown,Ferrisburg,NA,NA
Old Dean Farm,0,Dean Road,Brandon,43.774936,-73.105903
Brisson Yard,21,Middlebrook Road,Ferrisburgh,44.17918,-73.21446
Warren Yd,0,Unknown,Shoreham,NA,NA
Home Yard,3,32 Wood Road,North Middlesex,44.344971,-72.588638
Home Yard,0,47 Williams Street,Brattleboro,NA,NA
RT 125,34,RT 125,Cornwall,44.003072,-73.218287
Home,1,215 Rowell Brook Road,Bradford,43.983608,-72.143639
Home,3,321 South Hill Road,Ludlow,43.384596,-72.692513
Bissonette Yard,29,Unknown,New Haven,NA,NA
Home,0,5635 RT 116,St. George,44.39592,-73.139107
Gibb Nuc Yard,15,Snake Mtn Rd,Weybridge,44.039507,-73.256674
Home,4,799 Snake Road,Newbury,44.050655,-72.092278
Home,2,20 Repa Road,Underhill,44.564375,-72.944494
Family Farm,3,397 Tebbetts Road,Cabot,44.392412,-72.36021
Phillips Yard,0,Unknown,New Haven,NA,NA
Home,0,244 Pitkin Road,Albany,44.735251,-72.350466
Home,0,2779 Hartford Ave,Hartford,43.684275,-72.319155
Home,5,Unknown,Wolcott,NA,NA
Home,1,637 Jones Road,Bakersfield,44.832752,-72.824013
Pearce Yd,30,Unknown,Hinesburg,NA,NA
Home,3,265 French Road,West Newbury,44.052324,-72.124737
Turkey Lane Yd,30,Unknown,Monkton,NA,NA
Verberg Yard,24,Unknown,Ferrisburg,NA,NA
Home,0,4583 Old County Road,Waterford,44.352825,-71.87542
Home,5,1308 Lower Notch Road,Bristol,44.108926,-73.076436
Home,7,97 Mill Street,West Fairlee,43.909168,-72.26061
Home,1,36 Pennock Road,Strafford,43.885491,-72.374196
Redwing Farm,0,Unknown,Townshend,NA,NA
Home Yard,1,4848 Eathan Allen Hwy,Georgia,44.740862,-73.113348
Home,0,58 Goodrich Hill Road,Georgia,44.727512,-73.069458
Home,1,42 Hemlock Hill,Dummerston,42.906635,-72.607368
Hesscock Yd.,16,Unknown,Shoreham,NA,NA
Home Yard,6,436 Dan Sargent Road,Bristol,44.168808,-73.01165
Rathburn Land,1,Unknown,West Windsor,NA,NA
Dog River Farm Yard,8,Rt 12 Lorde Road,Berlin,NA,NA
Home,0,896 Hopkins Hill Road,Hardwick,44.48827,-72.34343
Breezy Acres Yd,0,Unknown,Swanton,44.918098,-73.124298
Ashcraft Honey Yd,28,Spaulding Road,Panton,44.126767,-73.352681
McBride Honey Yd,27,Jersey St,Panton,44.138569,-73.346269
BradfordYd,5,Depot Street,Bradford,44.000232,-72.118356
Home,4,727 Cole Road,West Newbury,44.053005,-72.113217
Home Yard,4,216 Maple Steet,Duxbury,44.343032,-72.840844
Home,2,67 Mill Brook Road,Sunderland,43.111394,-73.11806
1,0,16 Pearl Street,Grand Isle,44.687492,-73.315514
Home,1,715 East Road,Waitsfield,44.195137,-72.784851
Home yard,2,301 Middle Road,Colchester,NA,NA
Trulove Farm,6,Unknown,Shaftsbury,42.96069,-73.26828
Home,1,22 Benedict Crossing Road,Arlington,43.091567,-73.197954
Notterman Yard.,9,841 Pumpkin Lane,Hardwick,44.511097,-72.330247
Home,2,Unknown,Williston,NA,NA
Home,1,3316 Brook Road,Plainfield,44.233086,-72.407295
Home,3,165 Lake Brook Road,Georgia,44.765883,-73.156076
Home,6,3658 Vt Rte 12A,Braintree,43.955814,-72.725349
Sparky Bee,1,527 Abbott Road,Windham,43.167614,-72.715012
Home,1,same as mailing address,Chester,NA,NA
Darby Farm,8,54 N. Main Street,Alburg,44.984577,-73.295452
Home,7,192 Mine Road,Strafford,43.823778,-72.333353
Home,4,897 Cemetary Road,Brookfield,44.033806,-72.545975
Home,5,218 Monarch Hill Road,Tunbridge,43.922375,-72.511253
Home Yard,2,30 Buxton Avenue,Middletown Springs,43.47848,-73.12285
Home,1,492 River Road,Jamaica,43.078068,-72.750084
Home,2,1108 Elmore Mountain Road,Morristown,44.5331,-72.564735
Home,1,162 Gifford Road,Hartford,43.660627,-72.317805
Metta Earth,1,Geary Road,Lincoln,44.074853,-72.966278
Home,1,165 Rivervale Road,Shelburne,44.366344,-73.217519
Home,0,3 Deer Run,Randolph,43.930199,-72.67218
Home Yard,0,163 Bishop Road,Hinesburg,44.343876,-73.035271
Home,0,1283 Taylor Hill Road,Brookfield,44.056133,-72.547849
Frey Land,1,3043 Rt 22 A,Addison,44.115855,-73.29361
LivingstonYard,0,1531 Hardscrabble Road,Bristol,44.167564,-73.116577
New Haven Yard,10,Across Fire Department Rt 116/Rt 117,New Haven,NA,NA
Berry Farm,6,"Across from Abbey Pond Trail, Coirner Mead Lane Rt 116",Middlebury,44.015337,-73.16734
Home,6,288 Otto Merrill Road,Royalton,43.80563,-72.544327
Home,1,305 Blood Hill Road,West Windsor,43.503574,-72.481369
Home Yard,3,154 Apple Hill Road,Waterbury Center,44.371994,-72.723147
Home,1,1224 East Hill Road,Newark,44.678402,-71.904997
Home,5,1376 Wes White  Hill Road,Richmond,44.371324,-72.946386
Home Yard,3,4685 Greenbush  Road,Charlotte,44.284468,-73.256428
Home,10,4263 Nelson Hill Road,Derby,44.977448,-72.070206
Home Yard,1,2003 North County Road,Groton,44.275688,-72.203913
Home,1,88 Pearl Street,Grand Isle,44.69351,-73.32969
Home Yard,15,4357 Case Street,Midlebury,44.03212,-73.09474
New Hall Farm,8,Unknown,Reading,NA,NA
Home,5,27 Bly Farm Road,East Charleston,44.84895,-72.018688
Daughters Land,2,28 Tar Box Road,Jericho,44.444864,-72.990161
Home,1,1037 Jerusalem Hill,Rochester,43.830273,-72.778076
Black Mountain Farm Yard,1,506 River Road,Fletcher,44.65249,-72.899373
Home,0,1712 Gabert Road,Woodstock,43.612731,-72.568397
Home/bus.,1,11 North Common,Chelsea,43.988329,-72.446319
Home Yard,1,201 Buddy's Lane,Northfield,44.129717,-72.716741
Home Yard,6,Unknown,St. Albans Cty,NA,NA
Home,1,455 Gillin Road,Fairfax,44.644509,-72.896239
Home,2,237 Hill Road,Fairfield,44.795414,-72.979874
Home,1,Unknown,Pittsford,NA,NA
Home,2,391 Frank Orvis ROad,Bristol,44.160965,-73.005028
Home,9,1264 Faulkner Road,Whitingham,42.808735,-72.880966
Home,1,Unknown,Ferrisburg,44.558803,-72.577841
HomeE.Brookfield,3,501 Woods Road,Brookfield,44.007687,-72.54248
Home,2,2943 Hinesburg Road,Charlotte,44.321991,-73.17617
Home Yard,20,3435 Monument Hill Road,Hubbardton,43.721847,-73.130515
Home,1,681 Western Ave,Brattleboro,42.852033,-72.591915
Home,1,840 Gore Road,Starksboro,44.223531,-72.963373
Home,1,2338 Dartt Hill Road,Bethel,43.826511,-72.717814
1,2,Unknown,Rutland,43.610624,-72.972606
Home,2,12 Montvert Road,Middletown Springs,43.482158,-73.117148
Home,2,416 Shady Rill Road,Middlesex,44.351929,-72.601082
Home,1,379 B Hill Road,Pownal,42.758564,-73.227767
Home,1,400 Riddle Pond Road,Orange,44.139925,-72.345856
Miller Yard,1,Unknown,Corinth,44.06168,-72.249064
Home,1,5521 Stage Road,Barnard,43.723389,-72.601723
Home Yard,3,Unknown,Grand Isle,NA,NA
Home Yard,5,129 Della-Corte Drive,Eden,44.75238,-72.58346
Home,1,5147 RT 103,Cuttingsville,43.48959,-72.883102
Home @Wake Robin Retirement Complex,5,Unknown,Shelburne,NA,NA
Home,2,Unknown,Charlotte,NA,NA
Home Yard,5,150 Sweet Hollow Road,Manchester,43.195697,-73.077149
Home,1,156 Urban Road,Cabot,44.39601,-72.275379
Home,3,5483 Greenbush Road,Charlotte,44.273216,-73.249382
Home,3,Unknown,Northfield,NA,NA
Park@lot behind 431 Pine,2,431 Pine Street,Burlington,44.465991,-73.216351
Home,3,1237 Pond Road,Fletcher,44.70472,-72.89937
Home,2,37 Dolan Road,Middlesex,44.316269,-72.590672
Home Yard,1,685 Ferry Road,Charlotte,44.308418,-73.259827
Townsend Yard,6,Unknown,Townshend,NA,NA
Home,1,782 Tigertown Road,Norwich,43.72707,-72.410057
Home,0,1790 Mountain View Road,Walden,44.496181,-72.296552
Home Yard,1,344 Fortier Drive,Williston,44.426521,-73.104626
1,20,1039 Pratt Road,Jeffersonvilole,44.613172,-72.841462
UVM Hort Farm,6,65 Green Mountrain Drive,Burlington,44.43267,-73.20196
Home,1,83 Nottingham Lane,Burlington,44.506167,-73.273683
Home Yard,9,6320 VT RT 302,Groton,44.19977,-72.27508
Home,1,403 Carley Raod,Springfield,43.330318,-72.495682
Home Yard,1,152 Fisher Road,Orwell,43.8223,-73.26139
NA,1,280 Ridge Drive,Huntington,NA,NA
Home,1,514 East Street,Wallingford,43.472413,-72.95682
Home Yard,1,Unknown,Sunderland,NA,NA
N. Montpelier Yard,13,470 Hammett Hill Road,N. Montpelier,44.296613,-72.465069
Home,0,501 Galaxy Hill Road,Pomfret,43.704254,-72.510567
Middlebury College Yard,5,Unknown,Cornwall,44.012648,-73.191776
Home,1,Unknown,Starksboro,NA,NA
Home,0,44 James Downing Road,Topsham,44.132999,-72.188504
Home,2,248 Park View,Springfield,43.282547,-72.44957
Home,1,505 Fairfield Road,Bakersfield,44.780749,-72.815895
Brothers Land,1,Unknown,Newbury,NA,NA
Home Yard,0,118 Butcher House Road,Waitsfield,44.18148,-72.83493
Home Yard,0,431 Browns Trace Road,Jericho,44.458263,-72.971026
Home,0,22 Maple Street,Fairfax,44.663843,-73.009932
0.5M south of Clarenden line,1,510 North East Road,Tinmouth,43.483929,-73.015251
Home Yard,1,147 RT 30,Bondville,43.146076,-72.893965
C&O Farms,0,384 Sunset Cr,Morgan,44.911367,-72.03041
C&O Farms,0,337 Hinman Settler Road,Newport Town,44.94025,-72.138092
Home Yard,1,59 Hampshire Hill Road,Worcester,44.391058,-72.572156
Home,4,754 Rice Hill Road,Sheldon,44.921856,-72.94899
Home,30,19 Birch Road,Fairfax,44.669211,-72.987433
Out Yard,1,Unknown,Burlington,NA,NA
Home Yard,3,2923 Diamond Hill Road,St. Johnsbury,44.490147,-72.032219
Home Yard,1,22 Park Street,Underhill,44.522888,-72.943103
Home,2,87 Howard Street,Burlington,44.46704,-73.211549
Home Yard,1,54 Bridge  Road,North Thetford,43.842226,-72.184208
Back Meadow,2,Unknown,Rutland Town,NA,NA
Home Yard,4,Unknown,Milton,NA,NA
Home Yard,3,4740 RT 30,Cornwall,43.931015,-73.212785
Home,1,84 Perini Road,Newbury,44.094131,-72.082275
Home Yard,1,50 West Street,Middletown Springs,43.485559,-73.123314
Home Yard,2,3299 Hartsboro Road,Wallingford,43.416187,-72.988556
Home,2,131 Frank's Way,Middlesex,44.257473,-72.569633
Home Yard,2,Unknown,Bennington,NA,NA
Home,1,Unknown,Mt. Holly,NA,NA
Home,3,110 Adams School Road,Grand Isle,44.726209,-73.323403
Home,0,155 Tamarack Street,Warren,44.067929,-72.833245
Home Yard,2,Unknown,Burlington,44.475882,-73.212072
Home Yard,2,711 West Hill Road,St. Johnsbury,44.393333,-72.035759
Home,0,305 Shady Rill Road,Middlesex,44.346855,-72.592911
Off RT4 onto Thomas Hill,0,3117 Rose Hill,Woodstock,43.620093,-72.543197
Home,0,460 Crossover Road,Brookfield,44.027217,-72.610171
Home,3,2408 Dorset Street,Charlotte,44.327839,-73.172424
Home,0,1784 Backway Road,Corinth,44.018433,-72.367771
Home,1,159 Dominion Ave,North Troy,44.999943,-72.406057
Home,1,465 Pennell Road,Chester,43.350642,-72.642708
Home,2,1930 Reservoir Road,Chester,43.28568,-72.64626
Home,0,644 Fairfax Road,Fletcher,44.676945,-72.92322
Home,1,2719 Pearson Road,New Haven,44.077587,-73.194511
Home,0,1200 Vt Route 108 South,Bakersfield,44.767947,-72.812946
Mailloux Yard,20,677 VT RT 14,Williamstown,44.142213,-72.525762
Home,3,905 Creek Road,Irasburg,44.789462,-72.27975
Follow RT302 towards E.Barre,0,313 George Street,Orange,44.170323,-72.416918
VNRC - Roof,2,9 Bailey Ave.,Montpelier,NA,NA
Tilton Yard,1,0,0,NA,NA
Shaky Ground Farm,2,3255 Lake Street,Addison,NA,NA
Morse Yard,4,Off RT 12,Berlin,44.229018,-72.607731
Taconic End Farm Yard,8,1395 Leicester-Whiting Road,Leicester,43.8586,-73.13613
Nesobe Farm Yard,10,Steinberg Road,Brandon,43.805198,-73.102279
HHA2,14,481 King Farm Road,New Haven,44.159149,-73.146508
HHA3,11,2350 Gilman Road,Hinesburg,44.284836,-73.084305
HHA4,13,Baldwin  Road,Hinesburg,NA,NA
Home Yard,2,2543 Wheeler Road,Brandon,NA,NA
Burti,2,0,S. Burlington,NA,NA
Dewey Yard,16,Dewey Road,Salisbury,43.90846,-73.16408
Home Yard,6,1200 Rocky Ridge Road,St. Johnsbury,44.434893,-71.99588
Elmer Farm Yard,22,855 Case Street,Middlebury,43.983829,-73.10689
Home Yard,1,14 Harvest Run,Underhill,44.524786,-72.941318
Home Yard,2,354 South Ridge Road,Middlebury,43.984099,-73.211066
Home Yard,1,1436 Noyestar Road,West Danville,NA,NA
Home Yard,1,53 Cowie Road,Underhill,NA,NA
Home Yard,2,2825 Hollow Road,Monkton,NA,NA
1,2,10 Heritage Lane,Shelburne,44.377216,-73.237801
Hexite Apiary,1,2177 Ripton Road,Ripton,NA,NA
Home Yard,1,5685 VT RT 12,Barnard,NA,NA
Home Yard,2,97 Old Pump Road,Jericho,NA,NA
Fairfax Yard,2,2534 Main Street,N. Fairfax,44.752863,-73.055167
Home Yard,2,#5 Cross Road,West Topsham,NA,NA
Snail Apiary,1,5039 RT 22A,Fair Haven,43.689768,-73.291297
Fournier Yard,1,308 Pond Road,Hinesburg,NA,NA
Fontaine Yard,2,o,o,NA,NA
Farrow Yard,1,93 Godfrey Lane,Ludlow,NA,NA
Home Yard,2,1079 RT 100C,Johnson,NA,NA
Home Yard,3,517 Cemetary Road,Monkton,44.267792,-73.168404
Home Yard,1,175 Water Mill Road,Killington,43.679962,-72.784378
Powers Yard,1,429 Ethan Allen Parkway,Burlington,NA,NA
Ridgeview Apiary,2,1315 Burroughs Road,Concord,44.466335,-71.919212
Home Yard,1,1632 Bradley Road,Fairfield,NA,NA
Across Road Yard,2,Bradley Road,Fairfield,NA,NA
Ridge Road Yard,1,Ridge Road,Fairfield,NA,NA
Settlement Farm Yard,0,416 Irish Settlement Road,Underhill Center,44.522012,-72.894691
Home Yard,4,343 Freeman Hill Road,Moretown,44.248991,-72.774404
(Home)Fletcher Meadows Yd,2,2226 Metcalf Pond Road,Fairfield,NA,NA
St. Albans Yard,1,18 Twin Court,St. Albans,NA,NA
Home Yard,3,326 Randolph Road,Randolph Center,43.953873,-72.565445
Anderson Yard,1,Music Mountain Road,Stockbridge,NA,NA
Hartland Yard,1,100 Dodge Lane,Hartland,NA,NA
Streeter Road Yard,2,0,Concord,NA,NA
N. Danville Rd Yard,2,1127 N. Danville Road,St. Johnsbury,44.445526,-72.059166
Home Yard,52,441 Forest Drive,St. Albans,44.81818,-73.023277
Pelletier Shop Yard,11,6662 Georgia Shore Road,St. Albans,NA,NA
Mad Tom Yard,2,0,East Dorset,NA,NA
Happy Bluebird,2,3588 St. Armand Road,Swanton,44.984695,-73.063004
Home Yard,2,186 MacKenzie Drive,Worchester,44.375042,-72.582199
Home Yard,2,432 US RT 7 North,Rutland,NA,NA
Myrrh Meadow Farm,2,163 Clay Hill Road,Hartland,43.597008,-72.379066
Home Yard,1,86 Heritage Hill,Arlington,NA,NA
Bill's Bees,1,64 Cotton Road,Lyndonville,44.548332,-72.034112
Home Yard,1,342 Village Street,East Dorset,NA,NA
Home Yard,2,1588 Rogers Road,Randolph Center,43.970776,-72.576782
Home Yard,1,4525 Dorset West Road,Dorset,43.270206,-73.124571
Home Yard,3,470 Creek Road,Wallingford,NA,NA
Bannerman Yard,2,0,South Wallingford,NA,NA
Home Yard,1,3518 Colvin Hill Road,Danby 4 Corners,NA,NA
Hanchette Yard,1,Ward Road,Stafford,NA,NA
Home Yard,3,175 Fenn Road,Mt. Holly,43.43095,-72.78777
Home Yard,0,20 Winter Street,Montpelier,NA,NA
Home Yard,1,554 Cutler Corner Road,Barre,44.201813,-72.428795
Home Yard,2,78 Sighs Drive,Wolcott,44.640339,-72.488312
Home Yard,0,37 Dyer Avenue,Montpelier,NA,NA
Home Yard,1,649 Everst Road,Milton,NA,NA
Home Yard,1,1197 Upper Notch Road,Bristol,44.070816,-73.056366
Thurber Yard,2,0,Charlotte,NA,NA
RT 7 Yard,0,0,Ferrisburg,NA,NA
Paquet Farm,4,179 Morrison Road,Barre,NA,NA
Home Yard,4,1113 Vereshire Center Road,Vershire,43.960015,-72.336258
Home Yard,32,2770 Loop Road,Westfield,44.8596,-72.408
Path of Life Garden,2,RT 5,Windsor,NA,NA
Home Yard,3,0,0,NA,NA
Home,1,29 Pleasant Street,Saxtons River,43.142937,-72.506058
Wilusz Yard,3,614 W. Shore Road,N. Hero,NA,NA
Home Yard,1,2981 Mines Road,Lowell,44.783518,-72.507384
Eden Ice Cider Orchards,5,1023 Sanderson Hill Road,W. Charleston,44.852051,-72.074066
Home Yard,2,3854 Brandon MT. Road (RT73),Rochester,NA,NA
Camp Yard,1,Halts Road,Worcester,NA,NA
Stevens Yard,8,1490 Randolph Road,Morrisville,NA,NA
Home Yard,185,4683 VT RT 12,Braintree,43.996423,-72.653586
Whalen Yard,20,Tunbridge Road,Tunbridge,NA,NA
Roblee Farm,4,608 Kelly Hill Road,Pawlet,43.380663,-73.11939
Home Yard,1,28 Pleasant Way,Johnson,NA,NA
Out Yard,4,2647 States Prison Hollow Road,Bristol,44.259416,-73.091506
Deasy Yard,3,347 Urban Road,Cabot,44.402461,-72.275584
(Brigham) Guy Smith,9,Town Line Road,Addison,44.02919,-73.38762
Reed Yard (Brigham RT17),20,RT 17,Addison,NA,NA
Sudbury Yard,15,Sawyer-Needham Road,Sudbury,43.835585,-73.17082
Yard #2,2,135 Foley Road,Colchester,44.5415,-73.252375
Home Yard,1,132 Peacham Road,Danville,NA,NA
Brandon Yard,2,Arnold District Road,Brandon,43.822801,-73.111498
Home Yard,2,1 Hatfield Lane,Saxtons River,NA,NA
Out Yard,2,90 Cemetary Road,Monkton,NA,NA
Home Yard,1,4752 VT RT 14,Irasburg,44.802635,-72.280525
Mikes Country Store,5,0,Clarendon,NA,NA
Hudak Yard,17,RT 7,St. Albans,44.85036,-73.09167
Home Yard,1,210 South Pine Banks Road,Putney,NA,NA
Wolf Hill Yard,12,Middle Road,W. Salisbury,43.93422,-73.13341
Leland Yard,20,2392 Leland Road,W. Salisbury,43.888963,-73.146973
Gildrien Farm Yard,20,490 DeLorm Road,Leicester,43.84807,-73.08951
Hardt Yard,12,766 Smead Road,W. Salisbury,43.917143,-73.102834
Home Yard,2,1030 Crawford Hill Road,West Charleston,NA,NA
All Together Yard,3,2435 Ridge Road,Randolph Center,NA,NA
Evans Yard,2,426 Kibbee Road,Brookfield,NA,NA
Home Yard,4,3660 E. Warren Road,Waitsfield,44.14202,-72.81803
Rainbow Mountain,20,2825 Dog Pond Road,Woodbury,44.440891,-72.451088
Home Yard,4,Lewis Creek Drive,Ferrisburgh,44.246978,-73.222024
Blueberry Fields Apiary,3,832 Mill Village Road,Craftsbury Common,44.671259,-72.371635
Hurdland Honey,2,0,Hinesburg,NA,NA
MacArthur Yard,0,MacAurthur Road,Marlboro,NA,NA
Summer Home,1,233 RT 113,W. Fairlee,43.900498,-72.264542
Home Yard,1,4101 VT RT 58 East,Lowell,44.817207,-72.377037
Home Yard,0,1646 Perini Road,Newbury,44.113464,-72.097115
Out Yard,2,Rte 131 &South Mountain Road,Weathersfield,NA,NA
Templeton Farm,1,Center Road,E. Montpelier,NA,NA
Manning Yard,4,Buttercup Mountain Farm,Orange,NA,NA
Home Yard,2,21A  Abbott Road,W. Brattleboro,NA,NA
Jasper Hill Farm,4,884 Garvin Hill Road,Greensboro,44.588251,-72.270331
Home Yard,4,89 Lyman Road,Sharon,43.752033,-72.486427
Summer Home Yard,2,113 White Birch Lane,West Wardsboro,NA,NA
Home Yard,3,6 School Street,Essex Junction,44.490161,-73.114085
Nuc Yard,0,293 Lost Nation Road,Essex Junction,NA,NA
Sunshine Berry Farm,4,RT 100,Rochester,NA,NA
Single Gate Farm,0,109 W. Cobble Hill Road,Barre,44.186306,-72.476051
Shelburn Farms,2,Shelburne Farms,Shelburne,NA,NA
Clearbrook North,30,Old Depot Rd,Shaftsbury,43.010406,-73.193839
Summer Camp,2,2418 Victory Road,Victory,44.586136,-71.815437
Home Yard,2,150 Brown Road,West Dover,NA,NA
Bolt Yard,1,647 Mad Tom Road,East Dorset,NA,NA
