"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"783",258,"BQCV",24.213,11636293.2969389
"784",185,"DWV",32.571,0
"786",325,"BQCV",27.584,760383.282154032
"787",320,"BQCV",28.328,717737.696686956
"789",182,"BQCV",28.329,431138.876154248
"790",223,"BQCV",29.799,337226.357042008
"793",318,"BQCV",26.959,769284.395941153
"795",39,"BQCV",31.849,49694.3058870091
"796",199,"BQCV",27.824,453455.096376682
"797",376,"BQCV",32.005,70924.1814357983
"799",232,"BQCV",30.535,484260.366768623
"813",332,"BQCV",27.14,2722837.01076952
"826",228,"BQCV",28.885,2025341.70595903
"832",182,"DWV",32.804,28641.559326381
"833",220,"BQCV",29.863,452127.17304137
"834",333,"BQCV",25.402,6676572.66732623
"835",378,"BQCV",27.142,2362300.77629638
"836",196,"BQCV",29.005,587674.666075448
"837",185,"BQCV",22.903,14514487.8298585
"843",327,"BQCV",27.814,1166769.83617599
"846",377,"BQCV",30.714,253630.436085593
"847",195,"BQCV",29.534,171055.657396158
"848",247,"BQCV",22.215,98004585.5106437
"849",200,"BQCV",29.671,285227.188824952
"850",276,"BQCV",27.672,700297.502431307
"851",261,"BQCV",25.719,4444741.19124607
"853",184,"BQCV",21.473,42248787.0385043
"878",251,"BQCV",23.3,43147580.7475272
"879",246,"BQCV",23.558,32372204.5382582
"880",260,"BQCV",22.011,33537473.7425454
"881",262,"BQCV",26.932,3637032.92521053
"882",186,"BQCV",25.291,8666498.70268524
"883",267,"BQCV",22.094,24156701.3475146
"884",187,"BQCV",23.696,27246823.305187
"885",207,"BQCV",26.627,1910319.77791268
"886",253,"BQCV",26.584,3254741.91453301
"887",183,"BQCV",25.019,6770006.98463168
"888",178,"BQCV",25.444,6864845.34205076
"895",277,"BQCV",26.266,1282204.1136792
"920",269,"BQCV",25.475,3039174.80167254
"934",245,"DWV",32.654,45288.0054981931
"940",156,"BQCV",28.783,515008.907124619
"948",268,"BQCV",29.625,387254.103479784
"949",148,"BQCV",29.304,541393.201557335
"950",271,"BQCV",30.622,269108.534297239
"951",254,"BQCV",23.969,14022465.0830481
"952",252,"BQCV",26.539,5341475.90451278
"953",245,"BQCV",25.408,4512247.5237267
"955",141,"BQCV",26.901,1436303.83796232
"956",146,"BQCV",29.506,239961.063109355
"957",242,"BQCV",29.773,1104044.10921389
"966",155,"BQCV",25.991,2582536.39212234
"968",142,"BQCV",29.799,172579.420314677
"973",259,"BQCV",26.111,1896150.66028428
"979",170,"BQCV",31.845,72066.5990015119
"981",306,"BQCV",31.309,301582.13970704
"984",165,"BQCV",29.868,400459.148582714
"1008",167,"BQCV",32.312,98304.7808693599
"1010",293,"BQCV",31.871,14827.1373889234
"1011",173,"BQCV",24.9,7546955.18294227
"1013",296,"BQCV",31.969,67688.9597920066
"1034",305,"BQCV",28.617,270702.783387767
"1039",112,"BQCV",28.728,443946.23433429
"1040",110,"BQCV",29.496,377431.731965913
"1041",54,"BQCV",29.163,118978.659085413
"1042",37,"BQCV",30.385,178155.664055949
"1043",38,"BQCV",31.956,0
"1044",35,"BQCV",28.107,947123.90922289
"1045",109,"BQCV",28.95,271977.903513683
"1046",36,"BQCV",30.731,63256.0570034105
"1047",53,"BQCV",26.192,1217399.77552973
"1051",35,"DWV",32.687,55330.6676823986
"1058",52,"BQCV",27.472,326156.045624826
"1059",71,"BQCV",29.26,157265.677777443
