well,labID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
A1,P1,DWV,0.742,Amp,UNKNOWN,37.933,37.436,0.703,0.173,0.251,0.11,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,34,FALSE,
A2,P2,DWV,0.953,Amp,UNKNOWN,34.009,33.22,0.876,2.194,2.975,3.432,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
A3,P3,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A12,No Sample,DWV,0,No Amp,NTC,Undetermined,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B1,P1,DWV,0.815,Amp,UNKNOWN,36.939,37.436,0.703,0.329,0.251,0.11,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
B2,P2,DWV,0.942,Amp,UNKNOWN,33.374,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,TRUE,
B3,P3,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B12,Gblock,DWV,1.199,Amp,UNKNOWN,7.209,7.209,-,7.52E+07,7.52E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,5,FALSE,
C2,P2,DWV,0.934,Amp,UNKNOWN,32.278,33.22,0.876,6.73,2.975,3.432,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,29,FALSE,
C3,P3,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
D1,P1,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
D2,P2,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
D3,P3,BQCV,1.058,Amp,UNKNOWN,23.94,24.058,0.133,1436.199,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
D11,Gblock,BQCV,1.191,Amp,UNKNOWN,6.63,6.63,-,1.53E+08,1.53E+08,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,4,FALSE,
D12,No Sample,BQCV,0,No Amp,NTC,Undetermined,-,-,-,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
E1,P1,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
E2,P2,BQCV,0.858,Amp,UNKNOWN,37.256,37.256,-,0.194,0.194,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,34,FALSE,
E3,P3,BQCV,1.063,Amp,UNKNOWN,24.032,24.058,0.133,1350.199,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
F2,P2,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
F3,P3,BQCV,1.055,Amp,UNKNOWN,24.203,24.058,0.133,1204.41,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
A1,P4,DWV,1.123,Amp,UNKNOWN,32.752,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,TRUE,
A2,P5,DWV,1.248,Amp,UNKNOWN,31.792,31.792,-,9.214,9.214,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,29,FALSE,
A3,P6,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A4,P7,DWV,1.166,Amp,UNKNOWN,33.046,33.046,-,4.093,4.093,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
A5,P8,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A6,P9,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A7,P10,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A8,P11,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A9,P12,DWV,1.254,Amp,UNKNOWN,34.342,34.891,0.777,1.769,1.319,0.636,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
A10,P13,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A11,P14,DWV,1.129,Amp,UNKNOWN,35.339,36.773,2.029,0.928,0.464,0.656,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,32,FALSE,
A12,P15,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B1,P4,DWV,1.111,Amp,UNKNOWN,35.506,34.129,1.948,0.832,0.416,0.588,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
B2,P5,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B3,P6,DWV,1.253,Amp,UNKNOWN,32.977,32.977,-,4.279,4.279,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
B4,P7,DWV,0.597,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,TRUE,
B5,P8,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B6,P9,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B7,P10,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
