well,lab_ID,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean_hb,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
G12,No Sample,No Sample,ACTIN,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.161,TRUE,3,39,FALSE,72
F12,No Sample,No Sample,ACTIN,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.181,TRUE,3,39,TRUE,73
C1,HB1,1,BQCV,1.229,Amp,UNKNOWN,22.299,22.355,0.079,4303.323,4149.023,218.213,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,18,FALSE,72
D1,HB1,1,BQCV,1.236,Amp,UNKNOWN,22.41,22.355,0.079,3994.724,4149.023,218.213,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,18,FALSE,72
C9,HB10,10,BQCV,1.23,Amp,UNKNOWN,24.705,24.683,0.031,860.671,873.347,17.926,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,21,FALSE,72
D9,HB10,10,BQCV,1.23,Amp,UNKNOWN,24.662,24.683,0.031,886.023,873.347,17.926,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,21,FALSE,72
C10,HB11,11,BQCV,1.24,Amp,UNKNOWN,20.939,20.983,0.062,10688.736,10384.1,430.821,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,17,FALSE,72
D10,HB11,11,BQCV,1.236,Amp,UNKNOWN,21.027,20.983,0.062,10079.464,10384.1,430.821,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,17,FALSE,72
C11,HB12,12,BQCV,1.227,Amp,UNKNOWN,19.668,19.549,0.169,25012.428,27180.918,3066.709,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,15,FALSE,72
D11,HB12,12,BQCV,1.224,Amp,UNKNOWN,19.429,19.549,0.169,29349.41,27180.918,3066.709,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,15,FALSE,72
C2,HB13,13,BQCV,1.231,Amp,UNKNOWN,17.359,17.388,0.042,117244.93,114949.32,3246.479,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,13,FALSE,73
D2,HB13,13,BQCV,1.243,Amp,UNKNOWN,17.418,17.388,0.042,112653.72,114949.32,3246.479,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,13,FALSE,73
C3,HB14,14,BQCV,1.259,Amp,UNKNOWN,12.806,12.77,0.051,2464426.2,2525161.8,85892.77,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,9,FALSE,73
D3,HB14,14,BQCV,1.26,Amp,UNKNOWN,12.734,12.77,0.051,2585897,2525161.8,85892.77,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,9,FALSE,73
C4,HB15,15,BQCV,1.242,Amp,UNKNOWN,22.448,22.377,0.101,3894.922,4089.954,275.816,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,19,FALSE,73
D4,HB15,15,BQCV,1.249,Amp,UNKNOWN,22.306,22.377,0.101,4284.986,4089.954,275.816,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,18,FALSE,73
C2,HB2,2,BQCV,1.241,Amp,UNKNOWN,18.587,18.609,0.03,51536.88,50817.656,1017.136,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,14,FALSE,72
D2,HB2,2,BQCV,1.238,Amp,UNKNOWN,18.63,18.609,0.03,50098.434,50817.656,1017.136,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,14,FALSE,72
C3,HB3,3,BQCV,1.235,Amp,UNKNOWN,20.043,20.013,0.042,19467.232,19860.89,556.716,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,16,FALSE,72
D3,HB3,3,BQCV,1.239,Amp,UNKNOWN,19.983,20.013,0.042,20254.547,19860.89,556.716,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,16,FALSE,72
C4,HB4,4,BQCV,1.225,Amp,UNKNOWN,21.66,21.606,0.077,6597.738,6847.027,352.548,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,18,FALSE,72
D4,HB4,4,BQCV,1.24,Amp,UNKNOWN,21.551,21.606,0.077,7096.316,6847.027,352.548,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,17,FALSE,72
C1,HB5,5,BQCV,1.241,Amp,UNKNOWN,14.215,14.164,0.073,960110.75,994193.2,48199.934,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,10,FALSE,73
D1,HB5,5,BQCV,1.249,Amp,UNKNOWN,14.113,14.164,0.073,1028275.7,994193.2,48199.934,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,10,FALSE,73
C5,HB6,6,BQCV,1.248,Amp,UNKNOWN,21.948,21.906,0.059,5442.078,5598.314,220.951,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,18,FALSE,72
D5,HB6,6,BQCV,1.236,Amp,UNKNOWN,21.865,21.906,0.059,5754.55,5598.314,220.951,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,18,FALSE,72
C6,HB7,7,BQCV,1.238,Amp,UNKNOWN,14.244,14.187,0.08,941786.25,978814.1,52365.31,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,10,FALSE,72
D6,HB7,7,BQCV,1.253,Amp,UNKNOWN,14.131,14.187,0.08,1015842,978814.1,52365.31,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,10,FALSE,72
C7,HB8,8,BQCV,1.219,Amp,UNKNOWN,19.024,19.315,0.412,38491.26,32276.607,8788.849,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,15,FALSE,72
D7,HB8,8,BQCV,1.226,Amp,UNKNOWN,19.607,19.315,0.412,26061.955,32276.607,8788.849,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,15,FALSE,72
C8,HB9,9,BQCV,1.246,Amp,UNKNOWN,14.23,14.196,0.049,950595.3,972951.56,31616.475,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,10,FALSE,72
D8,HB9,9,BQCV,1.263,Amp,UNKNOWN,14.161,14.196,0.049,995307.75,972951.56,31616.475,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,10,FALSE,72
C12,No Sample,No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.077,TRUE,3,39,FALSE,72
C12,No Sample,No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,39,FALSE,73
A1,HB1,1,DWV,1.233,Amp,UNKNOWN,33.606,33.256,0.494,2.849,3.663,1.152,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,29,FALSE,72
B1,HB1,1,DWV,1.23,Amp,UNKNOWN,32.907,33.256,0.494,4.478,3.663,1.152,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,28,FALSE,72
A9,HB10,10,DWV,1.245,Amp,UNKNOWN,18.299,18.262,0.052,57304.125,58713.133,1992.637,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,14,FALSE,72
B9,HB10,10,DWV,1.252,Amp,UNKNOWN,18.225,18.262,0.052,60122.137,58713.133,1992.637,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,14,FALSE,72
A10,HB11,11,DWV,1.242,Amp,UNKNOWN,34.358,33.544,1.151,1.751,3.386,2.312,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,30,FALSE,72
B10,HB11,11,DWV,1.248,Amp,UNKNOWN,32.73,33.544,1.151,5.021,3.386,2.312,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,28,FALSE,72
A11,HB12,12,DWV,1.241,Amp,UNKNOWN,17.382,17.375,0.009,103807.43,104230.34,598.099,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,13,FALSE,72
B11,HB12,12,DWV,1.24,Amp,UNKNOWN,17.369,17.375,0.009,104653.266,104230.34,598.099,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,13,FALSE,72
A2,HB13,13,DWV,1.251,Amp,UNKNOWN,14.86,14.929,0.098,531204.6,508418.4,32224.533,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,10,FALSE,73
B2,HB13,13,DWV,1.257,Amp,UNKNOWN,14.998,14.929,0.098,485632.25,508418.4,32224.533,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,10,FALSE,73
A3,HB14,14,DWV,1.251,Amp,UNKNOWN,15.315,15.304,0.016,395566.75,398540.34,4205.275,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,11,FALSE,73
B3,HB14,14,DWV,1.246,Amp,UNKNOWN,15.292,15.304,0.016,401513.9,398540.34,4205.275,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,11,FALSE,73
A4,HB15,15,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,39,TRUE,73
B4,HB15,15,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,39,FALSE,73
A2,HB2,2,DWV,1.233,Amp,UNKNOWN,30.35,30.456,0.15,23.444,21.943,2.122,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,26,FALSE,72
B2,HB2,2,DWV,1.238,Amp,UNKNOWN,30.562,30.456,0.15,20.442,21.943,2.122,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,26,FALSE,72
A3,HB3,3,DWV,1.248,Amp,UNKNOWN,11.86,11.864,0.006,3705067.5,3694591.8,14814.875,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,8,FALSE,72
B3,HB3,3,DWV,1.246,Amp,UNKNOWN,11.868,11.864,0.006,3684116,3694591.8,14814.875,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,8,FALSE,72
A4,HB4,4,DWV,1.236,Amp,UNKNOWN,15.194,15.138,0.079,427897.66,443873.28,22592.922,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,11,FALSE,72
B4,HB4,4,DWV,1.248,Amp,UNKNOWN,15.083,15.138,0.079,459848.88,443873.28,22592.922,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,11,FALSE,72
A1,HB5,5,DWV,1.235,Amp,UNKNOWN,31.274,31.397,0.174,12.889,11.94,1.342,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,27,FALSE,73
B1,HB5,5,DWV,1.234,Amp,UNKNOWN,31.52,31.397,0.174,10.991,11.94,1.342,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,27,FALSE,73
A5,HB6,6,DWV,1.238,Amp,UNKNOWN,32.386,31.98,0.573,6.275,8.442,3.064,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,28,FALSE,72
B5,HB6,6,DWV,1.236,Amp,UNKNOWN,31.575,31.98,0.573,10.608,8.442,3.064,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,27,FALSE,72
A6,HB7,7,DWV,1.229,Amp,UNKNOWN,32.233,31.946,0.405,6.928,8.485,2.202,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,28,FALSE,72
B6,HB7,7,DWV,1.248,Amp,UNKNOWN,31.66,31.946,0.405,10.041,8.485,2.202,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,27,FALSE,72
A7,HB8,8,DWV,1.243,Amp,UNKNOWN,14.216,14.102,0.162,805652.2,869982,90976.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,10,FALSE,72
B7,HB8,8,DWV,1.248,Amp,UNKNOWN,13.988,14.102,0.162,934311.8,869982,90976.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,10,FALSE,72
A8,HB9,9,DWV,1.243,Amp,UNKNOWN,31.613,31.157,0.644,10.351,14.512,5.885,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,27,FALSE,72
B8,HB9,9,DWV,1.245,Amp,UNKNOWN,30.701,31.157,0.644,18.674,14.512,5.885,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,26,FALSE,72
A12,No Sample,No Sample,DWV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.082,TRUE,3,39,FALSE,72
A12,No Sample,No Sample,DWV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.098,TRUE,3,39,FALSE,73
E1,HB1,1,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F1,HB1,1,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E9,HB10,10,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F9,HB10,10,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
