"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"281",135,"IAPV",NA,0
"282",126,"IAPV",NA,0
"284",117,"BQCV",39.275,0
"285",290,"IAPV",37.493,0
"287",118,"BQCV",34.171,0
"288",125,"DWV",39.491,0
"291",301,"DWV",NA,0
"292",311,"DWV",35.951,0
"293",310,"IAPV",NA,0
"294",118,"IAPV",NA,0
"295",311,"IAPV",34.001,0
"296",300,"DWV",NA,0
"297",117,"IAPV",NA,0
"298",149,"IAPV",36.388,0
"299",300,"IAPV",NA,0
"300",295,"IAPV",37.122,0
"302",123,"IAPV",38.099,0
"303",359,"DWV",NA,0
"304",372,"DWV",NA,0
"305",352,"DWV",NA,0
"306",361,"DWV",NA,0
"307",345,"DWV",35.979,0
"312",370,"DWV",NA,0
"313",347,"DWV",NA,0
"315",357,"DWV",NA,0
"316",356,"DWV",NA,0
"317",357,"DWV",34.192,0
"319",356,"IAPV",NA,0
"320",357,"IAPV",NA,0
"321",347,"IAPV",NA,0
"322",345,"IAPV",NA,0
"323",372,"IAPV",NA,0
"324",364,"IAPV",NA,0
"325",370,"IAPV",NA,0
"326",359,"IAPV",NA,0
"328",361,"DWV",34.278,0
"329",352,"DWV",34.437,0
"330",352,"IAPV",NA,0
"332",361,"IAPV",NA,0
"333",364,"DWV",NA,0
"336",215,"BQCV",33.713,0
"338",80,"BQCV",NA,0
"341",114,"BQCV",34.056,0
"342",97,"DWV",NA,0
"343",113,"IAPV",NA,0
"344",239,"DWV",NA,0
"346",78,"DWV",39.501,0
"347",80,"DWV",38.176,0
"348",240,"DWV",36.415,0
"349",212,"DWV",34.387,0
"350",77,"DWV",NA,0
"352",79,"IAPV",NA,0
"353",113,"DWV",NA,0
"354",114,"IAPV",NA,0
"355",80,"IAPV",NA,0
"356",219,"DWV",NA,0
"357",231,"IAPV",NA,0
"358",76,"IAPV",NA,0
"359",97,"IAPV",NA,0
"360",237,"IAPV",NA,0
"361",229,"IAPV",NA,0
"362",113,"BQCV",33.815,0
"363",213,"IAPV",NA,0
"364",215,"IAPV",36.781,0
"365",79,"BQCV",NA,0
"367",212,"IAPV",NA,0
"368",239,"BQCV",NA,0
"369",213,"BQCV",NA,0
"372",97,"BQCV",NA,0
"373",98,"BQCV",NA,0
"374",238,"DWV",NA,0
"375",76,"DWV",37.443,0
"376",114,"DWV",NA,0
"377",215,"DWV",34.874,0
"378",229,"DWV",NA,0
"379",231,"DWV",NA,0
"380",98,"DWV",NA,0
"381",219,"IAPV",NA,0
"382",240,"IAPV",NA,0
"384",213,"DWV",NA,0
"385",238,"IAPV",NA,0
"386",98,"IAPV",NA,0
"387",229,"IAPV",37.236,0
"388",95,"IAPV",NA,0
"389",239,"IAPV",39.838,0
"390",79,"DWV",NA,0
"391",78,"IAPV",NA,0
"392",77,"IAPV",NA,0
"393",237,"DWV",NA,0
"394",77,"BQCV",NA,0
"395",238,"BQCV",32.83,0
"399",51,"DWV",33.795,0
"401",51,"IAPV",NA,0
"403",69,"DWV",NA,0
"404",90,"DWV",33.6,0
"406",48,"DWV",NA,0
"408",88,"DWV",33.186,0
"409",49,"DWV",NA,0
"411",47,"IAPV",NA,0
"412",69,"IAPV",NA,0
"413",70,"IAPV",NA,0
"414",48,"BQCV",NA,0
"416",90,"IAPV",NA,0
"417",50,"IAPV",NA,0
"418",67,"IAPV",NA,0
"422",87,"IAPV",39.029,0
"423",50,"DWV",NA,0
"424",47,"DWV",NA,0
"425",89,"IAPV",34.269,0
"426",49,"BQCV",34.385,0
"429",49,"IAPV",NA,0
"431",68,"IAPV",NA,0
"435",48,"IAPV",NA,0
"436",88,"IAPV",NA,0
"437",64,"DWV",NA,0
"438",221,"DWV",36.579,0
"439",226,"DWV",NA,0
"440",65,"DWV",NA,0
"441",84,"DWV",NA,0
"443",234,"DWV",37.311,0
"444",226,"DWV",38.242,0
"446",85,"DWV",NA,0
"447",104,"DWV",NA,0
"449",107,"DWV",NA,0
"450",108,"DWV",NA,0
"451",66,"DWV",NA,0
"452",108,"IAPV",NA,0
"453",235,"IAPV",NA,0
"454",224,"IAPV",NA,0
"455",235,"DWV",NA,0
"456",64,"IAPV",NA,0
"457",106,"DWV",36.688,0
"460",216,"DWV",NA,0
"461",86,"IAPV",NA,0
"462",224,"DWV",36.302,0
"463",230,"DWV",NA,0
"465",63,"DWV",35.975,0
"466",105,"DWV",34.578,0
"469",233,"DWV",NA,0
"472",103,"IAPV",NA,0
"473",104,"IAPV",33.055,0
"475",234,"IAPV",NA,0
"476",221,"IAPV",NA,0
"477",107,"IAPV",NA,0
"478",236,"IAPV",NA,0
"480",85,"IAPV",NA,0
"481",66,"IAPV",NA,0
"484",236,"DWV",NA,0
"490",66,"BQCV",32.722,0
"496",234,"BQCV",33.093,0
"497",63,"IAPV",NA,0
"498",226,"IAPV",NA,0
"499",230,"IAPV",NA,0
"500",233,"IAPV",NA,0
"501",84,"IAPV",NA,0
"502",106,"IAPV",NA,0
"503",105,"IAPV",NA,0
"504",218,"IAPV",37.859,0
"505",216,"IAPV",NA,0
"506",65,"IAPV",NA,0
"507",193,"DWV",NA,0
"509",159,"DWV",NA,0
"510",194,"IAPV",37.955,0
"511",342,"IAPV",NA,0
"512",330,"IAPV",NA,0
"513",323,"IAPV",NA,0
"514",158,"IAPV",NA,0
"515",341,"IAPV",NA,0
"516",193,"IAPV",38.399,0
"517",164,"IAPV",NA,0
"518",342,"DWV",NA,0
"519",375,"DWV",34.915,0
"520",317,"DWV",34.622,0
"521",193,"BQCV",NA,0
"525",168,"BQCV",32.913,0
"530",319,"DWV",NA,0
"532",194,"BQCV",NA,0
"533",162,"DWV",NA,0
"534",337,"DWV",NA,0
"535",168,"DWV",34.771,0
"536",375,"DWV",NA,0
"537",341,"DWV",NA,0
"538",329,"DWV",34.866,0
"539",166,"DWV",NA,0
"540",164,"DWV",NA,0
"541",319,"DWV",38.596,0
"542",158,"DWV",NA,0
"543",177,"DWV",35.386,0
"544",314,"DWV",NA,0
"545",166,"BQCV",NA,0
"546",159,"BQCV",NA,0
"549",177,"BQCV",33.707,0
"552",375,"IAPV",NA,0
"553",330,"DWV",35.929,0
"554",323,"DWV",NA,0
"555",341,"DWV",34.451,0
"556",166,"DWV",34.465,0
"557",177,"IAPV",37.157,0
"558",162,"IAPV",38.814,0
"559",166,"IAPV",36.247,0
"560",159,"IAPV",NA,0
"561",329,"IAPV",NA,0
"562",168,"IAPV",NA,0
"563",319,"IAPV",NA,0
"564",317,"IAPV",NA,0
"565",314,"IAPV",NA,0
"566",337,"IAPV",NA,0
"568",81,"IAPV",37.595,0
"569",58,"BQCV",NA,0
"570",101,"BQCV",NA,0
"571",61,"BQCV",NA,0
"572",101,"IAPV",NA,0
"573",59,"BQCV",NA,0
"574",29,"BQCV",33.981,0
"575",60,"DWV",39.025,0
"576",59,"IAPV",NA,0
"577",100,"DWV",39.064,0
"578",29,"DWV",NA,0
"579",101,"DWV",NA,0
"580",61,"DWV",NA,0
"581",59,"DWV",NA,0
"582",81,"DWV",NA,0
"583",99,"DWV",NA,0
"584",82,"DWV",38.447,0
