ID,Date,site,Morpho_species,plant,Time,Notes
105,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,
106,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,
107,8/3/15,NEK,small bombus,Galeopsis tetrahit,3:00 PM,
108,8/3/15,NEK,big bombus ,in flight,3:00 PM,
109,8/3/15,NEK,small bombus,Asclepias syriaca,3:00 PM,male
110,8/3/15,NEK,small bombus,Asclepias syriaca,3:00 PM,male
111,8/3/15,NEK,big orange,"""tall pink""",3:00 PM,unknown flower
112,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,
113,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,
114,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,
115,7/29/15,SWAN,big bombus ,Trifolium pratense,11:50 AM,
116,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
117,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
118,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
119,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
120,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
121,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
122,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
123,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
124,7/29/15,SWAN,small bombus,Trifolium pratense,11:50 AM,
125,7/29/15,SWAN,apis,Trifolium pratense,11:50 AM,
126,7/27/15,DODD,small bombus,Vicia cracca,1:40 PM,
127,7/27/15,DODD,small bombus,Vicia cracca,1:40 PM,
128,7/27/15,DODD,small bombus,in flight,1:40 PM,
129,7/27/15,DODD,apis,in flight,1:40 PM,
130,7/27/15,DODD,apis,in flight,1:40 PM,
131,7/27/15,DODD,apis,in flight,1:40 PM,
132,7/27/15,DODD,small bombus,Solidago ,1:40 PM,
133,7/27/15,DODD,apis,Solidago ,1:40 PM,
134,7/27/15,DODD,apis,Solidago ,1:40 PM,
135,7/27/15,DODD,apis,Solidago ,1:40 PM,
136,7/27/15,DODD,apis,Solidago ,1:40 PM,
137,7/27/15,DODD,apis,Solidago ,1:40 PM,
138,7/27/15,DODD,apis,Solidago ,1:40 PM,
139,7/27/15,DODD,apis,Solidago ,1:40 PM,
140,7/27/15,DODD,apis,Trifolium repens,1:40 PM,
141,7/27/15,DODD,apis,Trifolium repens,1:40 PM,
142,7/27/15,DODD,apis,Trifolium repens,1:40 PM,
143,7/27/15,DODD,small bombus,Trifolium pratense,1:40 PM,
144,7/27/15,DODD,small bombus,Trifolium pratense,1:40 PM,
145,7/27/15,DODD,small orange,Trifolium pratense,1:40 PM,
146,7/27/15,DODD,apis,"""purple flower""",1:40 PM,unknown flower
147,7/27/15,DODD,apis,"""purple flower""",1:40 PM,unknown flower
148,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,
149,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,
150,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,
151,7/27/15,ROCK,big bombus ,Trifolium pratense,9:40 AM,
152,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
153,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
154,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
155,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
156,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
157,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
158,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
159,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
160,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
161,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
162,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
163,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,
164,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,
165,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,
166,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,
167,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,
168,7/27/15,ROCK,small orange,Trifolium repens,9:40 AM,
169,7/27/15,ROCK,small orange,Trifolium repens,9:40 AM,
170,7/27/15,ROCK,small orange,Trifolium repens,9:40 AM,
171,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,
172,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,
173,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,
174,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,
175,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,
176,7/29/15,CIND,big bombus ,Trifolium repens,6:25 PM,
177,7/29/15,CIND,big bombus ,Trifolium repens,6:25 PM,
178,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
179,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
180,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
181,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
182,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
183,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
184,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
185,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
186,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
187,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
188,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
189,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
190,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
191,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
192,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
193,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
194,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
195,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
196,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
197,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
198,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
199,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
200,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
201,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
202,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
203,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
204,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
205,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
206,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
207,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
208,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
209,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
210,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
211,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
212,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
213,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
214,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,
215,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
216,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
217,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
218,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
219,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
220,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
221,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
222,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
223,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
224,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
225,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
226,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
227,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
228,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
229,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
230,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
231,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
232,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
233,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
234,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
235,7/29/15,CIND,small orange,Trifolium repens,6:25 PM,
236,7/29/15,CIND,apis,Trifolium repens,6:25 PM,
237,7/29/15,CIND,apis,Trifolium repens,6:25 PM,
238,7/29/15,CLERK,big bombus ,Trifolium pratense,3:40 PM,
239,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
240,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
241,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
242,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
243,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
244,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
245,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
246,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,
247,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
248,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
249,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
250,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
251,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
252,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
253,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
254,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
255,7/29/15,CLERK,small orange ,Trifolium pratense,3:40 PM,
256,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,
257,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,
258,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,
259,7/29/15,CLERK,small black,Trifolium pratense,3:40 PM,
260,7/29/15,CLERK,small bombus,Trifolium repens,3:40 PM,
261,7/29/15,CLERK,small bombus,Trifolium repens,3:40 PM,
262,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
263,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
264,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
265,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
266,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
267,7/29/15,CLERK,small orange,Trifolium repens,3:40 PM,
268,7/29/15,CLERK,apis,Trifolium repens,3:40 PM,
269,7/29/15,CLERK,big bombus ,in flight,3:40 PM,
