ID,RNA_Extraction_Date ,ng/ul ,260/280 ,260/230 ,Constant ,RNA_for_Dilution,final_vol,H2O,dil.factor
344,5/2/16,207.18,2.23,2.01,40,5,51.8,46.8,10.4
345,5/2/16,265.89,2.2,2.15,40,5,66.5,61.5,13.3
346,5/2/16,229.28,2.18,1.92,40,5,57.3,52.3,11.5
347,5/2/16,193.37,2.18,2.3,40,5,48.3,43.3,9.7
348,5/2/16,268.52,2.21,2.17,40,5,67.1,62.1,13.4
349,5/2/16,187.25,2.17,2.18,40,5,46.8,41.8,9.4
350,5/2/16,143.86,2.17,1.21,40,5,36,31,7.2
351,5/15/16,124.88,2.24,2.35,40,10,62.4,52.4,6.2
352,5/2/16,164.91,2.2,2.03,40,5,41.2,36.2,8.2
353,5/2/16,229.67,2.19,1.93,40,5,57.4,52.4,11.5
354,5/2/16,157.76,2.2,2.07,40,5,39.4,34.4,7.9
355,5/2/16,150.99,2.17,1.34,40,5,37.7,32.7,7.5
356,5/2/16,112.81,2.19,2.08,40,10,56.4,46.4,5.6
357,5/15/16,116.95,2.2,2.12,40,10,58.5,48.5,5.8
358,5/15/16,170.4,2.23,2.24,40,5,42.6,37.6,8.5
359,5/15/16,117.01,2.28,2.19,40,10,58.5,48.5,5.9
360,5/15/16,140.38,2.23,2.28,40,10,70.2,60.2,7
361,5/4/16,162.3,2.17,1.38,40,5,40.6,35.6,8.1
362,5/4/16,133.49,2.19,1.77,40,5,33.4,28.4,6.7
363,8/11/16,113.19,2.17,2.13,40,10,56.6,46.6,5.7
364,8/13/16,28.34,2.09,1.92,40,30,42.5,12.5,1.4
365,8/13/16,82.38,2.2,2.18,40,10,41.2,31.2,4.1
366,8/13/16,119.83,2.2,2.17,40,10,59.9,49.9,6
367,8/13/16,72.02,2.28,1.91,40,15,54,39,3.6
368,5/4/16,115.25,2.22,2.09,40,5,28.8,23.8,5.8
369,5/4/16,130.3,2.18,1.82,40,5,32.6,27.6,6.5
370,8/11/16,134.03,2.16,2.11,40,10,67,57,6.7
371,8/13/16,36.57,2.22,1.48,40,25,45.7,20.7,1.8
372,8/13/16,139.3,2.21,2.29,40,10,69.7,59.7,7
373,8/11/16,74.92,2.17,2.28,40,10,37.5,27.5,3.7
374,8/11/16,164.94,2.18,1.93,40,5,41.2,36.2,8.2
375,8/11/16,109.45,2.15,1.92,40,10,54.7,44.7,5.5
376,8/13/16,194.68,2.2,2.27,40,5,48.7,43.7,9.7
377,8/13/16,155.48,2.21,2.02,40,10,77.7,67.7,7.8
378,8/13/16,143.39,2.19,2.36,40,10,71.7,61.7,7.2
379,8/13/16,89.84,2.24,1.48,40,10,44.9,34.9,4.5
