well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
C5,K10,IAPV,0.973,No Amp,UNKNOWN,37.411,37.411,,0.657,0.657,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,34,FALSE,30
C6,K11,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,30
C7,K12,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,30
C8,K13,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,30
C9,K14,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,30
C10,K15,IAPV,1.269,No Amp,UNKNOWN,34.83,34.83,,3.456,3.456,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,32,FALSE,30
D1,K6,BQCV,1.301,Amp,UNKNOWN,23.98,23.98,,1398.033,1398.033,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,20,FALSE,30
D2,K7,BQCV,1.322,Amp,UNKNOWN,28.348,28.348,,75.251,75.251,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,24,FALSE,30
D3,K8,BQCV,1.302,Amp,UNKNOWN,25.074,25.074,,672.323,672.323,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,21,FALSE,30
D4,K9,BQCV,1.327,Amp,UNKNOWN,27.229,27.229,,159.05,159.05,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,23,FALSE,30
D5,K10,BQCV,1.325,Amp,UNKNOWN,28.262,28.262,,79.691,79.691,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,24,FALSE,30
D6,K11,BQCV,1.329,Amp,UNKNOWN,25.932,25.932,,378.884,378.884,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,22,FALSE,30
D7,K12,BQCV,1.33,Amp,UNKNOWN,24.626,24.626,,907.497,907.497,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,20,FALSE,30
D8,K13,BQCV,1.34,Amp,UNKNOWN,24.1,24.1,,1289.974,1289.974,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,20,FALSE,30
D9,K14,BQCV,1.327,Amp,UNKNOWN,24.626,24.626,,907.397,907.397,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,20,FALSE,30
D10,K15,BQCV,1.33,Amp,UNKNOWN,28.28,28.28,,78.77,78.77,,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,24,FALSE,30
F1,K6,ACTIN,1.443,Amp,UNKNOWN,16.196,16.196,,482738.12,482738.12,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,10,FALSE,30
F2,K7,ACTIN,1.446,Amp,UNKNOWN,16.571,16.571,,379331.3,379331.3,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F3,K8,ACTIN,1.425,Amp,UNKNOWN,16.805,16.805,,326454.3,326454.3,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F4,K9,ACTIN,1.427,Amp,UNKNOWN,16.772,16.772,,333442.28,333442.28,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F5,K10,ACTIN,1.435,Amp,UNKNOWN,16.995,16.995,,288920.97,288920.97,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F6,K11,ACTIN,1.439,Amp,UNKNOWN,16.956,16.956,,296291.84,296291.84,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F7,K12,ACTIN,1.434,Amp,UNKNOWN,16.432,16.432,,414907.9,414907.9,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F8,K13,ACTIN,1.443,Amp,UNKNOWN,15.781,15.781,,630484.3,630484.3,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,10,FALSE,30
F9,K14,ACTIN,1.45,Amp,UNKNOWN,16.779,16.779,,332042.1,332042.1,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
F10,K15,ACTIN,1.439,Amp,UNKNOWN,16.478,16.478,,402926.78,402926.78,,36.5667,0.9988,-3.584,90.11565,TRUE,0.263,TRUE,3,11,FALSE,30
A1,K16,DWV,1.323,Amp,UNKNOWN,32.719,32.719,,5.057,5.057,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,29,FALSE,33
A2,K17,DWV,1.328,Amp,UNKNOWN,32.739,31.835,1.279,4.992,10.546,7.854,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,29,FALSE,33
A3,K18,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,39,FALSE,33
A4,K19,DWV,1.301,Amp,UNKNOWN,33.274,33.274,,3.531,3.531,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,30,FALSE,33
A5,K20,DWV,1.347,Amp,UNKNOWN,31.008,31.995,1.396,15.312,9.788,7.812,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
A6,K21,DWV,1.328,Amp,UNKNOWN,29.456,29.345,0.157,41.828,45.062,4.575,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,26,FALSE,33
A7,K22,DWV,1.335,Amp,UNKNOWN,30.535,31.129,0.84,20.796,15.218,7.888,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
A8,K23,DWV,1.326,Amp,UNKNOWN,29.157,29.303,0.207,50.744,46.368,6.188,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,26,FALSE,33
A9,K24,DWV,1.292,Amp,UNKNOWN,34.376,32.626,2.475,1.73,9.201,10.566,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,31,FALSE,33
A10,K25,DWV,1.338,Amp,UNKNOWN,30.589,30.749,0.226,20.079,18.202,2.655,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
B1,K16,DWV,0,No Amp,UNKNOWN,Undetermined,32.719,,1.53E+10,5.057,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,39,FALSE,33
B2,K17,DWV,1.332,Amp,UNKNOWN,30.931,31.835,1.279,16.099,10.546,7.854,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
B3,K18,DWV,0,No Amp,UNKNOWN,Undetermined,,,1.53E+10,,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,39,FALSE,33
