ID,Treatment,dil.factor,well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
0.1.6,0.1,18.5,D11,I-43,BQCV,1.318,Amp,UNKNOWN,26.829,26.832,0.005,207.933,207.473,0.65,34.8074,0.9981,-3.4422,95.21442,TRUE,0.128,TRUE,3,22,FALSE,107
0.1.6,0.1,18.5,A10,I-43,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.6,0.1,18.5,B10,I-43,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.6,0.1,18.5,C10,I-43,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.5,0.1,15.2,E1,I-44,ACTIN,1.417,Amp,UNKNOWN,16.165,16.196,0.043,492474.88,482978.53,13429.876,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
0.1.5,0.1,15.2,F1,I-44,ACTIN,1.414,Amp,UNKNOWN,16.226,16.196,0.043,473482.16,482978.53,13429.876,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
0.1.5,0.1,15.2,C1,I-44,BQCV,1.313,Amp,UNKNOWN,26.889,26.741,0.208,199.747,221.52,30.792,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,22,FALSE,108
0.1.5,0.1,15.2,D1,I-44,BQCV,1.313,Amp,UNKNOWN,26.594,26.741,0.208,243.293,221.52,30.792,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,22,FALSE,108
0.1.5,0.1,15.2,A1,I-44,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,108
0.1.5,0.1,15.2,B1,I-44,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,108
0.1.4,0.1,16.5,E11,I-54,ACTIN,1.406,Amp,UNKNOWN,16.282,16.325,0.061,456790.44,444531.16,17337.227,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,10,FALSE,108
0.1.4,0.1,16.5,F11,I-54,ACTIN,1.423,Amp,UNKNOWN,16.368,16.325,0.061,432271.9,444531.16,17337.227,36.5667,0.9988,-3.584,90.11565,TRUE,0.214,TRUE,3,11,FALSE,108
0.1.4,0.1,16.5,C11,I-54,BQCV,1.323,Amp,UNKNOWN,29.314,29.187,0.179,39.443,43.091,5.159,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,24,FALSE,108
0.1.4,0.1,16.5,D11,I-54,BQCV,1.33,Amp,UNKNOWN,29.06,29.187,0.179,46.739,43.091,5.159,34.8074,0.9981,-3.4422,95.21442,TRUE,0.117,TRUE,3,24,FALSE,108
0.1.4,0.1,16.5,A11,I-54,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,108
0.1.4,0.1,16.5,B11,I-54,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,108
0.1.3,0.1,38.1,E1,I-55,ACTIN,1.417,Amp,UNKNOWN,15.995,15.926,0.098,549347.56,575021.3,36308.188,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.3,0.1,38.1,F1,I-55,ACTIN,1.407,Amp,UNKNOWN,15.856,15.926,0.098,600695.06,575021.3,36308.188,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.3,0.1,38.1,C1,I-55,BQCV,1.316,Amp,UNKNOWN,26.919,26.669,0.353,195.767,234.516,54.798,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,23,FALSE,109
0.1.3,0.1,38.1,D1,I-55,BQCV,1.304,Amp,UNKNOWN,26.42,26.669,0.353,273.264,234.516,54.798,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,23,FALSE,109
