"","colony","sample_name","FieldID","Treatment","dil.factor","DateExtracted","sample_name.1","BQCVload","DWVload","DWVbinary","BQCVbinary","logDWV","logBQCV","PreLogDWV","PreDWVLoad","PreLogBQCV","PreBQCVLoad"
"74",8,"I-64","1.18","1",26.7,"6/30/17","I-64",609946.876972407,21628.3909228218,1,1,9.98180835964272,13.3211287849124,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"75",8,"I-65","1.19","1",17.9,"6/30/17","I-65",156599.7885495,0,0,1,0,11.9614550979636,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"76",8,"I-19","C.14","C",28,"12/9/16","I-19",647989.140495707,NA,NA,1,NA,13.3816307599343,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"77",8,"I-67","1.16","1",33.6,"6/30/17","I-67",738131.707550751,0,0,1,0,13.5118789079463,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"78",8,"I-20","C.17","C",30.2,"12/9/16","I-20",1667939.29919709,0,0,1,0,14.327100069412,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"79",8,"I-69","0.1.14","0.1",26.5,"6/30/17","I-69",NA,NA,NA,NA,NA,NA,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"80",8,"I-58","0.1.20","0.1",23.1,"6/30/17","I-58",543628.179770268,0,0,1,0,13.2060226385717,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"81",8,"I-70","1.15","1",21.8,"6/30/17","I-70",617675.925515848,0,0,1,0,13.3337208254995,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"82",8,"I-71","1.14","1",29.2,"6/30/17","I-71",463928.830122935,0,0,1,0,13.0474885915889,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"83",8,"I-60","0.1.18","0.1",22.5,"6/30/17","I-60",515969.757511292,28665.2709060927,1,1,10.2634764808708,13.1538053713681,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"84",8,"I-85","10.14","10",10.753,"5/21/18","I-85",521171.671242213,10238.1433963704,1,1,9.23397324239621,13.1638366885569,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"85",8,"I-86","10.15","10",11.9695,"5/21/18","I-86",880526.932259537,0,0,1,0,13.6882769295947,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"86",8,"I-87","10.16","10",14.8435,"5/21/18","I-87",1216965.31505472,0,0,1,0,14.0118716929134,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"87",8,"I-88","10.18","10",11.981,"5/21/18","I-88",828099.6923424,0,0,1,0,13.6268900350828,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"88",8,"I-89","10.20","10",8.883,"5/21/18","I-89",678280.534944112,0,0,1,0,13.4273177240133,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"89",8,"I-66","1.17","1",25.1,"6/30/17","I-66",1289318.51638016,0,0,1,0,14.0696251304752,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
