ID,Virus,CqMean,QuantityMean,dilFactor,Colony,caste,treatment,genome_copbee,ACT_genome_copbee,norm_genome_copbee,MeltTemp,virusBINY,LOGviralLoad,viralLoad
F65,DWV,32.31,6.59,13,NA,NA,NA,85670,5049973500,45330.8071,79.85957336,1,4.656393452,45330.8071
F66,DWV,30.538,20.758,9.7,NA,NA,NA,201352.6,2838317970,189561.4312,80.00873566,1,5.277749979,189561.4312
F67,DWV,30.116,27.271,7.1,NA,NA,NA,193624.1,3612736736,143211.166,79.90887451,1,5.155976881,143211.166
F68,DWV,31.241,13.167,15.9,NA,NA,NA,209355.3,5246282592,106631.6338,79.95944214,1,5.027886063,106631.6338
F69,DWV,29.864,32.118,6.2,NA,NA,NA,199131.6,3849674860,138219.6905,80.05931091,1,5.140569916,138219.6905
F7,DWV,31.15,13.968,14.1,56,worker,near,196948.8,3701467140,142178.2697,80.35951233,1,5.152833225,142178.2697
F8,DWV,30.003,29.354,10.7,56,worker,near,314087.8,3759211740,223258.5311,80.2121048,1,5.348808063,223258.5311
F9,DWV,33.716,2.653,10.2,56,worker,near,27060.6,4162825020,17370.12923,79.96252441,0,0,0
F1,BQCV,30.447,18.484,2.6,27,worker,near,48058.4,892982740,143807.0002,79.3122406,1,5.157780027,143807.0002
F10,BQCV,23.006,2682.525,6.9,27,worker,near,18509422.5,3079756143,16059437.24,79.31667328,1,7.205730323,16059437.24
F11,BQCV,21.789,6054.205,5.7,27,worker,near,34508968.5,2202917304,41858876.5,79.31667328,1,7.621787568,41858876.5
F12,BQCV,21.908,5589.711,11.7,27,worker,near,65399618.7,6374581902,27414308.44,79.26348114,1,7.437977295,27414308.44
F13,BQCV,24.387,1064.699,8.6,27,worker,near,9156411.4,4693273184,5213186.322,79.3134079,1,6.717103247,5213186.322
F14,BQCV,27.808,108.007,22.8,27,worker,near,2462559.6,6839222520,962130.0964,79.46199036,1,5.9832338,962130.0964
F15,BQCV,23.45,1993.167,6.5,45,worker,far,12955585.5,2023223800,17110665.59,79.3122406,1,7.233266903,17110665.59
F16,BQCV,22.998,2696.508,5.5,27,worker,near,14830794,1558132620,25433947.28,79.31596375,1,7.405413767,25433947.28
F17,BQCV,25.425,531.775,11.5,45,worker,far,6115412.5,2773153125,5892582.747,79.36587524,1,6.77030569,5892582.747
F18,BQCV,23.262,2260.109,8.7,27,worker,near,19662948.3,2982139194,17618726.36,79.36117554,1,7.24597451,17618726.36
F19,BQCV,22.749,3185.544,10.4,44,worker,near,33129657.6,5266814488,16808258.15,79.36117554,1,7.22552271,16808258.15
F2,BQCV,21.543,7138.178,1.9,44,worker,near,13562538.2,5453463.6,6645418552,79.11256409,1,9.82252234,6645418552
F20,BQCV,23.462,1977.361,10.6,32,worker,far,20960026.6,6434327836,8704471.916,79.16386414,1,6.939742428,8704471.916
F21,BQCV,23.146,2442.241,6,49,worker,far,14653446,2619262500,14949082.09,79.41160583,1,7.174614527,14949082.09
F22,BQCV,25.128,648.565,1.8,49,worker,far,1167417,439516512,7097486.932,79.21188354,1,6.851104602,7097486.932
F23,BQCV,24.374,1073.963,5,5,worker,near,5369815,1625684200,8826264.19,79.26589966,1,6.945776923,8826264.19
F24,BQCV,23.975,1403.025,8.6,42,worker,far,12066015,2603202542,12385389.96,79.41568756,1,7.092909685,12385389.96
F25,BQCV,21.205,8944.95,11.5,42,worker,far,102866925,3365981000,81661599.34,79.46576691,1,7.912017881,81661599.34
F26,BQCV,25.129,647.995,7.6,42,worker,far,4924762,2338840872,5626500.428,79.51570129,1,6.750238356,5626500.428
F27,BQCV,25.104,659.195,16.1,5,worker,near,10613039.5,2785931442,10179422.49,79.21964264,1,7.00772314,10179422.49
F28,BQCV,22.746,3191.635,9.3,5,worker,near,29682205.5,2811894990,28206607.38,79.2695694,1,7.450350853,28206607.38
F29,BQCV,25.141,642.812,10.4,42,worker,far,6685244.8,2854750600,6257529.79,79.51570129,1,6.796402926,6257529.79
F3,BQCV,26.051,349.802,6,42,worker,far,2098812,1784250360,3143196.48,79.31596375,1,6.497371529,3143196.48
F30,BQCV,23.735,1647.187,8.8,5,worker,near,14495245.6,3105817440,12471061.98,79.41584778,1,7.095903438,12471061.98
F31,BQCV,30.681,15.805,4,5,worker,near,63220,278744,606042034.5,79.26383972,1,8.782502747,606042034.5
F32,BQCV,23.125,2477.025,5.9,49,worker,far,14614447.5,2610317825,14960385.9,79.26383972,1,7.174942796,14960385.9
F33,BQCV,21.244,8715.736,8.9,52,worker,near,77570050.4,3511377075,59029674.45,79.41160583,1,7.771070388,59029674.45
F34,BQCV,25.019,697.574,7.1,52,worker,near,4952775.4,1702692890,7772596.008,79.41160583,1,6.890566095,7772596.008
F35,BQCV,24.481,999.696,8.9,32,worker,far,8897294.4,4924023790,4828270.603,79.3657608,1,6.683791602,4828270.603
F36,BQCV,23.596,1807.831,7.3,42,worker,far,13197166.3,2127495794,16575466.61,79.26589966,1,7.219465763,16575466.61
F37,BQCV,28.959,50.001,3,52,worker,near,150003,393042,1019799436,79.2660141,1,9.008514768,1019799436
F38,BQCV,22.199,4602.624,4.6,49,worker,far,21172070.4,2056078652,27515498.75,79.2660141,1,7.439577389,27515498.75
F39,BQCV,26.543,251.714,5.6,49,worker,far,1409598.4,2038818432,1847441.226,79.2695694,1,6.266570631,1847441.226
F4,BQCV,24.553,952.682,12.9,49,worker,far,12289597.8,4861648800,6754728.088,79.415802,1,6.829607871,6754728.088
F40,BQCV,24.945,732.868,11.8,52,worker,near,8647842.4,2671671040,8649252.332,79.2695694,1,6.936978567,8649252.332
F41,BQCV,26.366,283.261,14.6,52,worker,near,4135610.6,1592191758,6940616.561,79.46577454,1,6.841398052,6940616.561
F44,BQCV,25.686,446.669,7,54,queen,near,3126683,1120874230,7453851.767,79.26298523,1,6.872380752,7453851.767
F45,BQCV,27.635,121.265,2.6,10,queen,far,315289,657249814,1281835.016,79.01335907,1,6.107832131,1281835.016
F47,BQCV,27.934,99.299,1.6,49,queen,far,158878.4,148620336,2856540.61,78.86061859,1,6.455840403,2856540.61
F49,BQCV,24.335,1102.553,2.4,52,queen,near,2646127.2,138667161.6,50990688.36,79.2101059,1,7.707490875,50990688.36
F51,BQCV,24.078,1309.468,1.1,5,queen,near,1440414.8,87321828,44077660.97,79.06331635,1,7.64421854,44077660.97
F52,BQCV,28.648,61.565,4.3,47,queen,far,264729.5,1255377346,563484.3206,79.11325073,1,5.750881836,563484.3206
F53,BQCV,20.48,14533.71,7.9,10,worker,far,114816309,2607981970,117639394.6,78.76821136,1,8.070552781,117639394.6
F54,BQCV,23.993,1385.496,3.9,56,worker,near,5403434.4,1539160974,9380794.539,79.06774902,1,6.972239624,9380794.539
F56,BQCV,23.779,1599.474,11.8,10,worker,far,18873793.2,3921223780,12861491.89,79.16574097,1,7.109291348,12861491.89
F57,BQCV,23.327,2163.966,2.8,56,worker,near,6059104.8,1262265900,12826595.47,79.16574097,1,7.108111398,12826595.47
F58,BQCV,25.264,592.089,3.3,56,worker,near,1953893.7,957263802,5454099.789,78.66402435,1,6.73672308,5454099.789
F59,BQCV,23.499,1928.935,2.6,10,worker,far,5015231,40462591,331200539.8,78.66402435,1,8.520091036,331200539.8
F6,BQCV,20.084,18933.639,7.1,10,worker,far,134428836.9,2417364264,148594976.4,79.26133728,1,8.172004127,148594976.4
F60,BQCV,26.131,331.697,11,10,worker,far,3648667,2135495670,4565510.2,79.26298523,1,6.659489317,4565510.2
F61,BQCV,24.542,959.952,6.2,10,worker,far,5951702.4,2151613280,7391469.258,79.36283112,1,6.868730775,7391469.258
F62,BQCV,22.488,3791.447,8.6,56,worker,near,32606444.2,4764708740,18286090.57,79.159935,1,7.262120867,18286090.57
