well,ID,labID,treatment,SamplingEvent,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run,
A10,E34,34,E,3,E34-3,DWV,1.336,Amp,UNKNOWN,17.23,16.787,0.628,114490.82,158931.45,62848.55,35.2228,0.993,-3.5567,91.05548,TRUE,0.115,TRUE,3,13,FALSE,104,
B10,E34,34,E,3,E34-3,DWV,1.337,Amp,UNKNOWN,16.343,16.787,0.628,203372.1,158931.45,62848.55,35.2228,0.993,-3.5567,91.05548,TRUE,0.115,TRUE,3,12,FALSE,104,
E10,E34,34,E,3,E34-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.235,TRUE,3,39,TRUE,104,
F10,E34,34,E,3,E34-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.235,TRUE,3,39,TRUE,104,
G9,E35,35,E,2,E35-2,ACTIN,1.38,Amp,UNKNOWN,18.518,18.574,0.079,108625.695,104852.16,5336.591,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
H9,E35,35,E,2,E35-2,ACTIN,1.389,Amp,UNKNOWN,18.63,18.574,0.079,101078.62,104852.16,5336.591,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
C9,E35,35,E,2,E35-2,BQCV,1.289,Amp,UNKNOWN,26.456,26.494,0.054,266.844,260.163,9.448,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,22,FALSE,101,
D9,E35,35,E,2,E35-2,BQCV,1.285,Amp,UNKNOWN,26.533,26.494,0.054,253.482,260.163,9.448,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,22,FALSE,101,
E9,E35,35,E,2,E35-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
F9,E35,35,E,2,E35-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
